States,Years,Quarter,District,Transaction_count,Transaction_amount
Himachal Pradesh,2024,3,una district,2928320,3853580000.0
Himachal Pradesh,2024,3,kangra district,8576122,10895900000.0
Himachal Pradesh,2024,3,lahaul and spiti district,435438,735481000.0
Himachal Pradesh,2024,3,kullu district,3322423,4501190000.0
Himachal Pradesh,2024,3,mandi district,3700892,4769770000.0
Himachal Pradesh,2024,3,chamba district,2320339,2801660000.0
Himachal Pradesh,2024,3,kinnaur district,787787,1127230000.0
Himachal Pradesh,2024,4,solan district,13650425,11535100000.0
Himachal Pradesh,2024,4,sirmaur district,4559229,4776230000.0
Himachal Pradesh,2024,4,shimla district,5765185,7523640000.0
Himachal Pradesh,2024,4,bilaspur district,2015535,2566080000.0
Himachal Pradesh,2024,4,hamirpur district,2851801,3676060000.0
Himachal Pradesh,2024,4,una district,3199063,4477370000.0
Himachal Pradesh,2024,4,kangra district,9442757,12529800000.0
Himachal Pradesh,2024,4,lahaul and spiti district,389879,629995000.0
Himachal Pradesh,2024,4,kullu district,4774123,6570030000.0
Himachal Pradesh,2024,4,mandi district,4035359,5285220000.0
Himachal Pradesh,2024,4,chamba district,2348303,2957490000.0
Himachal Pradesh,2024,4,kinnaur district,766739,1210000000.0
Jammu & Kashmir,2018,1,muzaffarabad district,13,14559.8
Jammu & Kashmir,2018,1,doda district,4108,7065930.0
Jammu & Kashmir,2018,1,samba district,14795,21534900.0
Jammu & Kashmir,2018,1,mirpur district,1320,3052180.0
Jammu & Kashmir,2018,1,srinagar district,47285,62676300.0
Jammu & Kashmir,2018,1,baramulla district,83775,44215000.0
Jammu & Kashmir,2018,1,jammu district,81381,127453000.0
Jammu & Kashmir,2018,1,ganderbal district,20571,9107650.0
Jammu & Kashmir,2018,1,udhampur district,17620,31451900.0
Jammu & Kashmir,2018,1,bandipore district,38208,11885500.0
Jammu & Kashmir,2018,1,reasi district,7433,12816200.0
Jammu & Kashmir,2018,1,shopian district,5083,3598500.0
Jammu & Kashmir,2018,1,poonch district,398963,509120000.0
Jammu & Kashmir,2018,1,kathua district,17643,22353800.0
Jammu & Kashmir,2018,1,kishtwar district,2054,3514300.0
Jammu & Kashmir,2018,1,pulwama district,35793,24777500.0
Jammu & Kashmir,2018,1,ramban district,5326,7284250.0
Jammu & Kashmir,2018,1,rajouri district,10199,16045700.0
Jammu & Kashmir,2018,1,kulgam district,23587,9213670.0
Jammu & Kashmir,2018,1,budgam district,50748,36218500.0
Jammu & Kashmir,2018,1,anantnag district,64478,24885700.0
Jammu & Kashmir,2018,1,kupwara district,11185,17085900.0
Jammu & Kashmir,2018,2,muzaffarabad district,75,368823.0
Jammu & Kashmir,2018,2,doda district,7631,16114400.0
Jammu & Kashmir,2018,2,samba district,20917,36387000.0
Jammu & Kashmir,2018,2,mirpur district,1885,4089200.0
Jammu & Kashmir,2018,2,srinagar district,92244,140893000.0
Jammu & Kashmir,2018,2,baramulla district,188100,100056000.0
Jammu & Kashmir,2018,2,jammu district,112434,232233000.0
Jammu & Kashmir,2018,2,ganderbal district,41415,24295300.0
Jammu & Kashmir,2018,2,udhampur district,27804,60326700.0
Jammu & Kashmir,2018,2,bandipore district,64888,26799300.0
Jammu & Kashmir,2018,2,reasi district,11296,27106600.0
Jammu & Kashmir,2018,2,shopian district,8017,8454710.0
Jammu & Kashmir,2018,2,poonch district,891298,1627870000.0
Jammu & Kashmir,2018,2,kathua district,25411,39744900.0
Jammu & Kashmir,2018,2,kishtwar district,3797,10312100.0
Jammu & Kashmir,2018,2,pulwama district,54034,53382800.0
Jammu & Kashmir,2018,2,ramban district,7715,14388200.0
Jammu & Kashmir,2018,2,rajouri district,17110,40023700.0
Jammu & Kashmir,2018,2,kulgam district,30822,17711000.0
Jammu & Kashmir,2018,2,budgam district,89823,77122200.0
Jammu & Kashmir,2018,2,anantnag district,70838,43529500.0
Jammu & Kashmir,2018,2,kupwara district,28772,49999700.0
Jammu & Kashmir,2018,3,muzaffarabad district,211,581879.0
Jammu & Kashmir,2018,3,doda district,12645,34027600.0
Jammu & Kashmir,2018,3,samba district,28728,62913600.0
Jammu & Kashmir,2018,3,mirpur district,2789,7804800.0
Jammu & Kashmir,2018,3,srinagar district,154314,270406000.0
Jammu & Kashmir,2018,3,baramulla district,210619,195960000.0
Jammu & Kashmir,2018,3,jammu district,145123,376453000.0
Jammu & Kashmir,2018,3,ganderbal district,52136,55650500.0
Jammu & Kashmir,2018,3,udhampur district,37014,92258300.0
Jammu & Kashmir,2018,3,bandipore district,87129,60815700.0
Jammu & Kashmir,2018,3,reasi district,16409,42269600.0
Jammu & Kashmir,2018,3,shopian district,8156,13724400.0
Jammu & Kashmir,2018,3,poonch district,1189512,2093060000.0
Jammu & Kashmir,2018,3,kathua district,35991,65729700.0
Jammu & Kashmir,2018,3,kishtwar district,5911,14394200.0
Jammu & Kashmir,2018,3,pulwama district,65491,93862000.0
Jammu & Kashmir,2018,3,ramban district,13585,31095400.0
Jammu & Kashmir,2018,3,rajouri district,25458,73897500.0
Jammu & Kashmir,2018,3,kulgam district,36648,38482900.0
Jammu & Kashmir,2018,3,budgam district,74691,120545000.0
Jammu & Kashmir,2018,3,anantnag district,69967,95642800.0
Jammu & Kashmir,2018,3,kupwara district,31434,95123400.0
Jammu & Kashmir,2018,4,muzaffarabad district,267,1159500.0
Jammu & Kashmir,2018,4,doda district,16990,50665200.0
Jammu & Kashmir,2018,4,samba district,43623,110910000.0
Jammu & Kashmir,2018,4,mirpur district,4525,17198500.0
Jammu & Kashmir,2018,4,srinagar district,144970,329216000.0
Jammu & Kashmir,2018,4,baramulla district,109702,212165000.0
Jammu & Kashmir,2018,4,jammu district,226829,670989000.0
Jammu & Kashmir,2018,4,ganderbal district,28646,51463800.0
Jammu & Kashmir,2018,4,udhampur district,50056,158444000.0
Jammu & Kashmir,2018,4,bandipore district,27073,56020900.0
Jammu & Kashmir,2018,4,reasi district,21464,57918400.0
Jammu & Kashmir,2018,4,shopian district,11706,27856800.0
Jammu & Kashmir,2018,4,poonch district,1642053,2992750000.0
Jammu & Kashmir,2018,4,kathua district,50640,115345000.0
Jammu & Kashmir,2018,4,kishtwar district,6978,22848700.0
Jammu & Kashmir,2018,4,pulwama district,43706,109778000.0
Jammu & Kashmir,2018,4,ramban district,18133,52646200.0
Jammu & Kashmir,2018,4,rajouri district,39629,132340000.0
Jammu & Kashmir,2018,4,kulgam district,32550,53586300.0
Jammu & Kashmir,2018,4,budgam district,75940,175490000.0
Jammu & Kashmir,2018,4,anantnag district,79193,110779000.0
Jammu & Kashmir,2018,4,kupwara district,46637,155148000.0
Jammu & Kashmir,2019,1,muzaffarabad district,309,802634.0
Jammu & Kashmir,2019,1,doda district,19704,52638900.0
Jammu & Kashmir,2019,1,samba district,51437,119637000.0
Jammu & Kashmir,2019,1,mirpur district,4690,17006200.0
Jammu & Kashmir,2019,1,srinagar district,310516,595281000.0
Jammu & Kashmir,2019,1,baramulla district,164873,235373000.0
Jammu & Kashmir,2019,1,jammu district,336553,880021000.0
Jammu & Kashmir,2019,1,ganderbal district,44270,53435100.0
Jammu & Kashmir,2019,1,udhampur district,61146,165236000.0
Jammu & Kashmir,2019,1,bandipore district,41790,57896100.0
Jammu & Kashmir,2019,1,reasi district,27880,66524100.0
Jammu & Kashmir,2019,1,shopian district,18043,29280800.0
Jammu & Kashmir,2019,1,poonch district,1923655,2702490000.0
Jammu & Kashmir,2019,1,kathua district,65843,123437000.0
Jammu & Kashmir,2019,1,kishtwar district,8801,24577300.0
Jammu & Kashmir,2019,1,pulwama district,73558,128624000.0
Jammu & Kashmir,2019,1,ramban district,21258,51349100.0
Jammu & Kashmir,2019,1,rajouri district,45577,133204000.0
Jammu & Kashmir,2019,1,kulgam district,64816,58528100.0
Jammu & Kashmir,2019,1,budgam district,141988,182507000.0
Jammu & Kashmir,2019,1,anantnag district,92467,115883000.0
Jammu & Kashmir,2019,1,kupwara district,65813,158106000.0
Jammu & Kashmir,2019,2,muzaffarabad district,358,1356180.0
Jammu & Kashmir,2019,2,doda district,25374,74037800.0
Jammu & Kashmir,2019,2,samba district,54413,142027000.0
Jammu & Kashmir,2019,2,mirpur district,5820,25541000.0
Jammu & Kashmir,2019,2,srinagar district,721517,1997440000.0
Jammu & Kashmir,2019,2,baramulla district,150503,324306000.0
Jammu & Kashmir,2019,2,jammu district,532412,1521240000.0
Jammu & Kashmir,2019,2,ganderbal district,42072,87050200.0
Jammu & Kashmir,2019,2,udhampur district,70405,212612000.0
Jammu & Kashmir,2019,2,bandipore district,41227,86691200.0
Jammu & Kashmir,2019,2,reasi district,35425,91038300.0
Jammu & Kashmir,2019,2,shopian district,19607,47839000.0
Jammu & Kashmir,2019,2,poonch district,38370,120248000.0
Jammu & Kashmir,2019,2,kathua district,62989,140667000.0
Jammu & Kashmir,2019,2,kishtwar district,13465,36239000.0
Jammu & Kashmir,2019,2,pulwama district,72486,192069000.0
Jammu & Kashmir,2019,2,ramban district,32101,87397700.0
Jammu & Kashmir,2019,2,rajouri district,59741,189339000.0
Jammu & Kashmir,2019,2,kulgam district,47276,70172200.0
Jammu & Kashmir,2019,2,budgam district,118107,244724000.0
Jammu & Kashmir,2019,2,anantnag district,76968,176893000.0
Jammu & Kashmir,2019,2,kupwara district,75719,231220000.0
Jammu & Kashmir,2019,3,muzaffarabad district,289,878368.0
Jammu & Kashmir,2019,3,doda district,13665,39001600.0
Jammu & Kashmir,2019,3,samba district,32337,83363000.0
Jammu & Kashmir,2019,3,mirpur district,3501,11882500.0
Jammu & Kashmir,2019,3,srinagar district,329195,1391920000.0
Jammu & Kashmir,2019,3,baramulla district,55226,164312000.0
Jammu & Kashmir,2019,3,jammu district,275239,885414000.0
Jammu & Kashmir,2019,3,ganderbal district,20047,58009500.0
Jammu & Kashmir,2019,3,udhampur district,43153,135163000.0
Jammu & Kashmir,2019,3,bandipore district,15986,42396400.0
Jammu & Kashmir,2019,3,reasi district,22807,59225400.0
Jammu & Kashmir,2019,3,shopian district,7786,16229900.0
Jammu & Kashmir,2019,3,poonch district,23270,75145800.0
Jammu & Kashmir,2019,3,kathua district,42083,90084600.0
Jammu & Kashmir,2019,3,kishtwar district,7443,21173600.0
Jammu & Kashmir,2019,3,pulwama district,33089,104267000.0
Jammu & Kashmir,2019,3,ramban district,23615,69645600.0
Jammu & Kashmir,2019,3,rajouri district,34386,112170000.0
Jammu & Kashmir,2019,3,kulgam district,17217,33851200.0
Jammu & Kashmir,2019,3,budgam district,41566,114191000.0
Jammu & Kashmir,2019,3,anantnag district,39325,117283000.0
Jammu & Kashmir,2019,3,kupwara district,35301,118626000.0
Jammu & Kashmir,2019,4,muzaffarabad district,13,33490.7
Jammu & Kashmir,2019,4,doda district,2864,13087000.0
Jammu & Kashmir,2019,4,samba district,14817,53713300.0
Jammu & Kashmir,2019,4,mirpur district,642,3841260.0
Jammu & Kashmir,2019,4,srinagar district,117133,474223000.0
Jammu & Kashmir,2019,4,baramulla district,8345,30863300.0
Jammu & Kashmir,2019,4,jammu district,231238,928579000.0
Jammu & Kashmir,2019,4,ganderbal district,834,4743500.0
Jammu & Kashmir,2019,4,udhampur district,22103,91344400.0
Jammu & Kashmir,2019,4,bandipore district,300,1680080.0
Jammu & Kashmir,2019,4,reasi district,12986,43788300.0
Jammu & Kashmir,2019,4,shopian district,285,648556.0
Jammu & Kashmir,2019,4,poonch district,10130,37926600.0
Jammu & Kashmir,2019,4,kathua district,28288,83151100.0
Jammu & Kashmir,2019,4,kishtwar district,2057,9695990.0
Jammu & Kashmir,2019,4,pulwama district,1473,9185350.0
Jammu & Kashmir,2019,4,ramban district,14088,49372200.0
Jammu & Kashmir,2019,4,rajouri district,15973,65942800.0
Jammu & Kashmir,2019,4,kulgam district,211,982047.0
Jammu & Kashmir,2019,4,budgam district,2351,11629900.0
Jammu & Kashmir,2019,4,anantnag district,3109,11464600.0
Jammu & Kashmir,2019,4,kupwara district,688,3800280.0
Jammu & Kashmir,2020,1,muzaffarabad district,112,436694.0
Jammu & Kashmir,2020,1,doda district,14126,38583600.0
Jammu & Kashmir,2020,1,samba district,32933,90185200.0
Jammu & Kashmir,2020,1,mirpur district,3104,11580800.0
Jammu & Kashmir,2020,1,srinagar district,127979,474473000.0
Jammu & Kashmir,2020,1,baramulla district,38477,102651000.0
Jammu & Kashmir,2020,1,jammu district,363150,1275560000.0
Jammu & Kashmir,2020,1,ganderbal district,10813,28214500.0
Jammu & Kashmir,2020,1,udhampur district,45339,137536000.0
Jammu & Kashmir,2020,1,bandipore district,10311,27789800.0
Jammu & Kashmir,2020,1,reasi district,24431,69003900.0
Jammu & Kashmir,2020,1,shopian district,7878,18157400.0
Jammu & Kashmir,2020,1,poonch district,16709,52760100.0
Jammu & Kashmir,2020,1,kathua district,48120,107171000.0
Jammu & Kashmir,2020,1,kishtwar district,9710,27259900.0
Jammu & Kashmir,2020,1,pulwama district,26598,76212200.0
Jammu & Kashmir,2020,1,ramban district,12796,34487900.0
Jammu & Kashmir,2020,1,rajouri district,28561,88475400.0
Jammu & Kashmir,2020,1,kulgam district,12394,24289900.0
Jammu & Kashmir,2020,1,budgam district,32991,95338600.0
Jammu & Kashmir,2020,1,anantnag district,25741,70085600.0
Jammu & Kashmir,2020,1,kupwara district,29357,87388100.0
Jammu & Kashmir,2020,2,muzaffarabad district,656,2880430.0
Jammu & Kashmir,2020,2,doda district,57928,135991000.0
Jammu & Kashmir,2020,2,samba district,92336,202734000.0
Jammu & Kashmir,2020,2,mirpur district,14046,44622100.0
Jammu & Kashmir,2020,2,srinagar district,440808,1810810000.0
Jammu & Kashmir,2020,2,baramulla district,139478,414667000.0
Jammu & Kashmir,2020,2,jammu district,819252,2746980000.0
Jammu & Kashmir,2020,2,ganderbal district,36483,106190000.0
Jammu & Kashmir,2020,2,udhampur district,127419,319173000.0
Jammu & Kashmir,2020,2,bandipore district,36152,102724000.0
Jammu & Kashmir,2020,2,reasi district,49746,106410000.0
Jammu & Kashmir,2020,2,shopian district,24785,66218000.0
Jammu & Kashmir,2020,2,poonch district,65969,192101000.0
Jammu & Kashmir,2020,2,kathua district,114835,227978000.0
Jammu & Kashmir,2020,2,kishtwar district,29206,75514000.0
Jammu & Kashmir,2020,2,pulwama district,85402,271480000.0
Jammu & Kashmir,2020,2,ramban district,39854,102643000.0
Jammu & Kashmir,2020,2,rajouri district,104655,305657000.0
Jammu & Kashmir,2020,2,kulgam district,42870,100175000.0
Jammu & Kashmir,2020,2,budgam district,112970,331830000.0
Jammu & Kashmir,2020,2,anantnag district,85384,239712000.0
Jammu & Kashmir,2020,2,kupwara district,114772,359167000.0
Jammu & Kashmir,2020,3,muzaffarabad district,1572,5773810.0
Jammu & Kashmir,2020,3,doda district,68744,173985000.0
Jammu & Kashmir,2020,3,samba district,113571,309268000.0
Jammu & Kashmir,2020,3,mirpur district,15019,54072800.0
Jammu & Kashmir,2020,3,srinagar district,461915,1879040000.0
Jammu & Kashmir,2020,3,baramulla district,183583,580426000.0
Jammu & Kashmir,2020,3,jammu district,1266667,4876920000.0
Jammu & Kashmir,2020,3,ganderbal district,50743,155780000.0
Jammu & Kashmir,2020,3,udhampur district,154296,445181000.0
Jammu & Kashmir,2020,3,bandipore district,48450,147013000.0
Jammu & Kashmir,2020,3,reasi district,56486,135099000.0
Jammu & Kashmir,2020,3,shopian district,34708,101327000.0
Jammu & Kashmir,2020,3,poonch district,76518,263708000.0
Jammu & Kashmir,2020,3,kathua district,126283,311678000.0
Jammu & Kashmir,2020,3,kishtwar district,31188,83180100.0
Jammu & Kashmir,2020,3,pulwama district,114833,372238000.0
Jammu & Kashmir,2020,3,ramban district,45879,125849000.0
Jammu & Kashmir,2020,3,rajouri district,125973,413621000.0
Jammu & Kashmir,2020,3,kulgam district,55854,145784000.0
Jammu & Kashmir,2020,3,budgam district,148225,477024000.0
Jammu & Kashmir,2020,3,anantnag district,128022,403570000.0
Jammu & Kashmir,2020,3,kupwara district,157369,516695000.0
Jammu & Kashmir,2020,4,muzaffarabad district,2190,8320760.0
Jammu & Kashmir,2020,4,doda district,101107,228887000.0
Jammu & Kashmir,2020,4,samba district,192767,485509000.0
Jammu & Kashmir,2020,4,mirpur district,22039,79706400.0
Jammu & Kashmir,2020,4,srinagar district,731076,2177640000.0
Jammu & Kashmir,2020,4,baramulla district,412433,862595000.0
Jammu & Kashmir,2020,4,jammu district,1776840,5696310000.0
Jammu & Kashmir,2020,4,ganderbal district,92285,201136000.0
Jammu & Kashmir,2020,4,udhampur district,248906,646829000.0
Jammu & Kashmir,2020,4,bandipore district,106767,229201000.0
Jammu & Kashmir,2020,4,reasi district,100618,229256000.0
Jammu & Kashmir,2020,4,shopian district,71983,161658000.0
Jammu & Kashmir,2020,4,poonch district,117245,342505000.0
Jammu & Kashmir,2020,4,kathua district,226360,463046000.0
Jammu & Kashmir,2020,4,kishtwar district,51330,107186000.0
Jammu & Kashmir,2020,4,pulwama district,219731,551824000.0
Jammu & Kashmir,2020,4,ramban district,78367,192684000.0
Jammu & Kashmir,2020,4,rajouri district,196713,567890000.0
Jammu & Kashmir,2020,4,kulgam district,124253,220794000.0
Jammu & Kashmir,2020,4,budgam district,295461,692267000.0
Jammu & Kashmir,2020,4,anantnag district,282499,514347000.0
Jammu & Kashmir,2020,4,kupwara district,303474,721320000.0
Jammu & Kashmir,2021,1,muzaffarabad district,1760,7018770.0
Jammu & Kashmir,2021,1,doda district,93540,197963000.0
Jammu & Kashmir,2021,1,samba district,201873,489545000.0
Jammu & Kashmir,2021,1,mirpur district,19836,76641400.0
Jammu & Kashmir,2021,1,srinagar district,1027161,2568960000.0
Jammu & Kashmir,2021,1,baramulla district,410535,785025000.0
Jammu & Kashmir,2021,1,jammu district,2651223,7421540000.0
Jammu & Kashmir,2021,1,ganderbal district,90691,163957000.0
Jammu & Kashmir,2021,1,udhampur district,253788,659212000.0
Jammu & Kashmir,2021,1,bandipore district,110105,212282000.0
Jammu & Kashmir,2021,1,reasi district,129459,310188000.0
Jammu & Kashmir,2021,1,shopian district,72084,140202000.0
Jammu & Kashmir,2021,1,poonch district,103668,299466000.0
Jammu & Kashmir,2021,1,kathua district,245017,476738000.0
Jammu & Kashmir,2021,1,kishtwar district,51696,119471000.0
Jammu & Kashmir,2021,1,pulwama district,230547,506299000.0
Jammu & Kashmir,2021,1,ramban district,79917,198842000.0
Jammu & Kashmir,2021,1,rajouri district,185784,544733000.0
Jammu & Kashmir,2021,1,kulgam district,118926,178549000.0
Jammu & Kashmir,2021,1,budgam district,314969,629197000.0
Jammu & Kashmir,2021,1,anantnag district,317577,500687000.0
Jammu & Kashmir,2021,1,kupwara district,287414,651844000.0
Jammu & Kashmir,2021,2,muzaffarabad district,3148,10754000.0
Jammu & Kashmir,2021,2,doda district,140197,278351000.0
Jammu & Kashmir,2021,2,samba district,272944,627783000.0
Jammu & Kashmir,2021,2,mirpur district,27536,100332000.0
Jammu & Kashmir,2021,2,srinagar district,1529261,3491630000.0
Jammu & Kashmir,2021,2,baramulla district,558737,966624000.0
Jammu & Kashmir,2021,2,jammu district,3793205,10159800000.0
Jammu & Kashmir,2021,2,ganderbal district,140457,232925000.0
Jammu & Kashmir,2021,2,udhampur district,361814,841569000.0
Jammu & Kashmir,2021,2,bandipore district,160002,285432000.0
Jammu & Kashmir,2021,2,reasi district,155375,315744000.0
Jammu & Kashmir,2021,2,shopian district,103178,162613000.0
Jammu & Kashmir,2021,2,poonch district,155606,414594000.0
Jammu & Kashmir,2021,2,kathua district,329534,635044000.0
Jammu & Kashmir,2021,2,kishtwar district,76391,153412000.0
Jammu & Kashmir,2021,2,pulwama district,332326,632761000.0
Jammu & Kashmir,2021,2,ramban district,117866,253972000.0
Jammu & Kashmir,2021,2,rajouri district,239185,634121000.0
Jammu & Kashmir,2021,2,kulgam district,192379,256728000.0
Jammu & Kashmir,2021,2,budgam district,450138,822333000.0
Jammu & Kashmir,2021,2,anantnag district,479956,717789000.0
Jammu & Kashmir,2021,2,kupwara district,408584,819479000.0
Jammu & Kashmir,2021,3,muzaffarabad district,4058,15722000.0
Jammu & Kashmir,2021,3,doda district,178242,377445000.0
Jammu & Kashmir,2021,3,samba district,352992,822874000.0
Jammu & Kashmir,2021,3,mirpur district,32777,122346000.0
Jammu & Kashmir,2021,3,srinagar district,2196468,5510880000.0
Jammu & Kashmir,2021,3,baramulla district,647847,1285810000.0
Jammu & Kashmir,2021,3,jammu district,5192026,13867900000.0
Jammu & Kashmir,2021,3,ganderbal district,176334,338209000.0
Jammu & Kashmir,2021,3,udhampur district,476615,1090590000.0
Jammu & Kashmir,2021,3,bandipore district,177163,340900000.0
Jammu & Kashmir,2021,3,reasi district,247073,542553000.0
Jammu & Kashmir,2021,3,shopian district,124570,229099000.0
Jammu & Kashmir,2021,3,poonch district,182447,520995000.0
Jammu & Kashmir,2021,3,kathua district,399722,762622000.0
Jammu & Kashmir,2021,3,kishtwar district,96068,208107000.0
Jammu & Kashmir,2021,3,pulwama district,393629,826512000.0
Jammu & Kashmir,2021,3,ramban district,157474,367286000.0
Jammu & Kashmir,2021,3,rajouri district,289081,823624000.0
Jammu & Kashmir,2021,3,kulgam district,223401,360261000.0
Jammu & Kashmir,2021,3,budgam district,545818,1112800000.0
Jammu & Kashmir,2021,3,anantnag district,580106,938065000.0
Jammu & Kashmir,2021,3,kupwara district,477130,1133800000.0
Jammu & Kashmir,2021,4,muzaffarabad district,5831,21241400.0
Jammu & Kashmir,2021,4,doda district,235025,435238000.0
Jammu & Kashmir,2021,4,samba district,492079,1144810000.0
Jammu & Kashmir,2021,4,mirpur district,39050,142452000.0
Jammu & Kashmir,2021,4,srinagar district,2900577,7232270000.0
Jammu & Kashmir,2021,4,baramulla district,787593,1567280000.0
Jammu & Kashmir,2021,4,jammu district,6639541,16627600000.0
Jammu & Kashmir,2021,4,ganderbal district,211443,370559000.0
Jammu & Kashmir,2021,4,udhampur district,621122,1409020000.0
Jammu & Kashmir,2021,4,bandipore district,230443,426225000.0
Jammu & Kashmir,2021,4,reasi district,332221,721603000.0
Jammu & Kashmir,2021,4,shopian district,158150,324100000.0
Jammu & Kashmir,2021,4,poonch district,224247,610047000.0
Jammu & Kashmir,2021,4,kathua district,528207,1082470000.0
Jammu & Kashmir,2021,4,kishtwar district,120885,242173000.0
Jammu & Kashmir,2021,4,pulwama district,462342,988007000.0
Jammu & Kashmir,2021,4,ramban district,199682,423302000.0
Jammu & Kashmir,2021,4,rajouri district,363872,998884000.0
Jammu & Kashmir,2021,4,kulgam district,279358,450819000.0
Jammu & Kashmir,2021,4,budgam district,678080,1358480000.0
Jammu & Kashmir,2021,4,anantnag district,683078,1035800000.0
Jammu & Kashmir,2021,4,kupwara district,597802,1313830000.0
Jammu & Kashmir,2022,1,muzaffarabad district,5151,19960000.0
Jammu & Kashmir,2022,1,doda district,243924,421317000.0
Jammu & Kashmir,2022,1,samba district,588078,1229540000.0
Jammu & Kashmir,2022,1,mirpur district,38244,124084000.0
Jammu & Kashmir,2022,1,srinagar district,2743701,5949340000.0
Jammu & Kashmir,2022,1,baramulla district,877608,1607190000.0
Jammu & Kashmir,2022,1,jammu district,5510056,11881700000.0
Jammu & Kashmir,2022,1,ganderbal district,210863,345901000.0
Jammu & Kashmir,2022,1,udhampur district,729905,1568040000.0
Jammu & Kashmir,2022,1,bandipore district,259483,442351000.0
Jammu & Kashmir,2022,1,reasi district,362457,730879000.0
Jammu & Kashmir,2022,1,shopian district,162032,256595000.0
Jammu & Kashmir,2022,1,poonch district,242450,638026000.0
Jammu & Kashmir,2022,1,kathua district,608852,1177350000.0
Jammu & Kashmir,2022,1,kishtwar district,142061,253795000.0
Jammu & Kashmir,2022,1,pulwama district,508605,1004680000.0
Jammu & Kashmir,2022,1,ramban district,212611,426251000.0
Jammu & Kashmir,2022,1,rajouri district,397302,1014910000.0
Jammu & Kashmir,2022,1,kulgam district,300260,402883000.0
Jammu & Kashmir,2022,1,budgam district,718312,1319710000.0
Jammu & Kashmir,2022,1,anantnag district,728868,1032530000.0
Jammu & Kashmir,2022,1,kupwara district,654488,1300780000.0
Jammu & Kashmir,2022,2,muzaffarabad district,10444,33449200.0
Jammu & Kashmir,2022,2,doda district,339886,563086000.0
Jammu & Kashmir,2022,2,samba district,783532,1573110000.0
Jammu & Kashmir,2022,2,mirpur district,56603,166355000.0
Jammu & Kashmir,2022,2,srinagar district,4660647,9640280000.0
Jammu & Kashmir,2022,2,baramulla district,1226879,2154960000.0
Jammu & Kashmir,2022,2,jammu district,7441002,14881000000.0
Jammu & Kashmir,2022,2,ganderbal district,408175,736412000.0
Jammu & Kashmir,2022,2,udhampur district,947548,1877650000.0
Jammu & Kashmir,2022,2,bandipore district,360875,621883000.0
Jammu & Kashmir,2022,2,reasi district,548687,1063810000.0
Jammu & Kashmir,2022,2,shopian district,268677,434290000.0
Jammu & Kashmir,2022,2,poonch district,357832,884012000.0
Jammu & Kashmir,2022,2,kathua district,817009,1514110000.0
Jammu & Kashmir,2022,2,kishtwar district,188126,322575000.0
Jammu & Kashmir,2022,2,pulwama district,790442,1527000000.0
Jammu & Kashmir,2022,2,ramban district,320262,607096000.0
Jammu & Kashmir,2022,2,rajouri district,565064,1321640000.0
Jammu & Kashmir,2022,2,kulgam district,479844,650871000.0
Jammu & Kashmir,2022,2,budgam district,1052343,1977190000.0
Jammu & Kashmir,2022,2,anantnag district,1214291,1884520000.0
Jammu & Kashmir,2022,2,kupwara district,975579,1819040000.0
Jammu & Kashmir,2022,3,muzaffarabad district,12533,36613700.0
Jammu & Kashmir,2022,3,doda district,373904,609473000.0
Jammu & Kashmir,2022,3,samba district,842829,1581920000.0
Jammu & Kashmir,2022,3,mirpur district,57562,165964000.0
Jammu & Kashmir,2022,3,srinagar district,2447805,4804160000.0
Jammu & Kashmir,2022,3,baramulla district,1311393,2203520000.0
Jammu & Kashmir,2022,3,jammu district,7526503,13607600000.0
Jammu & Kashmir,2022,3,ganderbal district,472648,930632000.0
Jammu & Kashmir,2022,3,udhampur district,997199,1863830000.0
Jammu & Kashmir,2022,3,bandipore district,386029,668983000.0
Jammu & Kashmir,2022,3,reasi district,570648,1072010000.0
Jammu & Kashmir,2022,3,shopian district,320567,501659000.0
Jammu & Kashmir,2022,3,poonch district,388681,897489000.0
Jammu & Kashmir,2022,3,kathua district,834884,1473460000.0
Jammu & Kashmir,2022,3,kishtwar district,225295,396196000.0
Jammu & Kashmir,2022,3,pulwama district,847472,1623090000.0
Jammu & Kashmir,2022,3,ramban district,366778,680698000.0
Jammu & Kashmir,2022,3,rajouri district,579577,1320000000.0
Jammu & Kashmir,2022,3,kulgam district,539004,763536000.0
Jammu & Kashmir,2022,3,budgam district,1140418,1992490000.0
Jammu & Kashmir,2022,3,anantnag district,1263844,1939520000.0
Jammu & Kashmir,2022,3,kupwara district,1028821,1830710000.0
Jammu & Kashmir,2022,4,muzaffarabad district,14832,35055800.0
Jammu & Kashmir,2022,4,doda district,513476,629795000.0
Jammu & Kashmir,2022,4,samba district,1025985,1822010000.0
Jammu & Kashmir,2022,4,mirpur district,72961,184917000.0
Jammu & Kashmir,2022,4,srinagar district,3176470,5356770000.0
Jammu & Kashmir,2022,4,baramulla district,1599504,2370520000.0
Jammu & Kashmir,2022,4,jammu district,9213783,15674900000.0
Jammu & Kashmir,2022,4,ganderbal district,411732,597518000.0
Jammu & Kashmir,2022,4,udhampur district,1227109,2035000000.0
Jammu & Kashmir,2022,4,bandipore district,451513,626896000.0
Jammu & Kashmir,2022,4,reasi district,700011,1146620000.0
Jammu & Kashmir,2022,4,shopian district,402989,610806000.0
Jammu & Kashmir,2022,4,poonch district,538857,1050590000.0
Jammu & Kashmir,2022,4,kathua district,1035799,1765330000.0
