States,Years,Quarter,Pincodes,RegisteredUser
Andaman & Nicobar,2018,1,744103,1717074
Andaman & Nicobar,2018,1,744101,1717074
Andaman & Nicobar,2018,1,744105,1717074
Andaman & Nicobar,2018,1,744102,1717074
Andaman & Nicobar,2018,1,744104,1717074
Andaman & Nicobar,2018,1,744202,1717074
Andaman & Nicobar,2018,1,744112,1717074
Andaman & Nicobar,2018,1,744301,1717074
Andaman & Nicobar,2018,1,744107,1717074
Andaman & Nicobar,2018,1,744211,1717074
Andaman & Nicobar,2018,2,744103,1717074
Andaman & Nicobar,2018,2,744101,1717074
Andaman & Nicobar,2018,2,744105,1717074
Andaman & Nicobar,2018,2,744102,1717074
Andaman & Nicobar,2018,2,744104,1717074
Andaman & Nicobar,2018,2,744202,1717074
Andaman & Nicobar,2018,2,744112,1717074
Andaman & Nicobar,2018,2,744107,1717074
Andaman & Nicobar,2018,2,744301,1717074
Andaman & Nicobar,2018,2,744211,1717074
Andaman & Nicobar,2018,3,744103,1717074
Andaman & Nicobar,2018,3,744101,1717074
Andaman & Nicobar,2018,3,744105,1717074
Andaman & Nicobar,2018,3,744102,1717074
Andaman & Nicobar,2018,3,744104,1717074
Andaman & Nicobar,2018,3,744202,1717074
Andaman & Nicobar,2018,3,744112,1717074
Andaman & Nicobar,2018,3,744107,1717074
Andaman & Nicobar,2018,3,744301,1717074
Andaman & Nicobar,2018,3,744211,1717074
Andaman & Nicobar,2018,4,744103,1717074
Andaman & Nicobar,2018,4,744101,1717074
Andaman & Nicobar,2018,4,744105,1717074
Andaman & Nicobar,2018,4,744102,1717074
Andaman & Nicobar,2018,4,744104,1717074
Andaman & Nicobar,2018,4,744202,1717074
Andaman & Nicobar,2018,4,744107,1717074
Andaman & Nicobar,2018,4,744112,1717074
Andaman & Nicobar,2018,4,744211,1717074
Andaman & Nicobar,2018,4,744301,1717074
Andaman & Nicobar,2019,1,744103,1717074
Andaman & Nicobar,2019,1,744101,1717074
Andaman & Nicobar,2019,1,744105,1717074
Andaman & Nicobar,2019,1,744102,1717074
Andaman & Nicobar,2019,1,744104,1717074
Andaman & Nicobar,2019,1,744202,1717074
Andaman & Nicobar,2019,1,744107,1717074
Andaman & Nicobar,2019,1,744112,1717074
Andaman & Nicobar,2019,1,744211,1717074
Andaman & Nicobar,2019,1,744301,1717074
Andaman & Nicobar,2019,2,744103,1717074
Andaman & Nicobar,2019,2,744101,1717074
Andaman & Nicobar,2019,2,744105,1717074
Andaman & Nicobar,2019,2,744102,1717074
Andaman & Nicobar,2019,2,744202,1717074
Andaman & Nicobar,2019,2,744104,1717074
Andaman & Nicobar,2019,2,744107,1717074
Andaman & Nicobar,2019,2,744112,1717074
Andaman & Nicobar,2019,2,744211,1717074
Andaman & Nicobar,2019,2,744301,1717074
Andaman & Nicobar,2019,3,744103,1717074
Andaman & Nicobar,2019,3,744101,1717074
Andaman & Nicobar,2019,3,744105,1717074
Andaman & Nicobar,2019,3,744102,1717074
Andaman & Nicobar,2019,3,744202,1717074
Andaman & Nicobar,2019,3,744104,1717074
Andaman & Nicobar,2019,3,744107,1717074
Andaman & Nicobar,2019,3,744112,1717074
Andaman & Nicobar,2019,3,744211,1717074
Andaman & Nicobar,2019,3,744301,1717074
Andaman & Nicobar,2019,4,744103,1717074
Andaman & Nicobar,2019,4,744101,1717074
Andaman & Nicobar,2019,4,744105,1717074
Andaman & Nicobar,2019,4,744102,1717074
Andaman & Nicobar,2019,4,744202,1717074
Andaman & Nicobar,2019,4,744104,1717074
Andaman & Nicobar,2019,4,744107,1717074
Andaman & Nicobar,2019,4,744112,1717074
Andaman & Nicobar,2019,4,744211,1717074
Andaman & Nicobar,2019,4,744301,1717074
Andaman & Nicobar,2020,1,744103,1717074
Andaman & Nicobar,2020,1,744101,1717074
Andaman & Nicobar,2020,1,744105,1717074
Andaman & Nicobar,2020,1,744102,1717074
Andaman & Nicobar,2020,1,744202,1717074
Andaman & Nicobar,2020,1,744104,1717074
Andaman & Nicobar,2020,1,744107,1717074
Andaman & Nicobar,2020,1,744112,1717074
Andaman & Nicobar,2020,1,744211,1717074
Andaman & Nicobar,2020,1,744301,1717074
Andaman & Nicobar,2020,2,744103,1717074
Andaman & Nicobar,2020,2,744105,1717074
Andaman & Nicobar,2020,2,744101,1717074
Andaman & Nicobar,2020,2,744102,1717074
Andaman & Nicobar,2020,2,744202,1717074
Andaman & Nicobar,2020,2,744104,1717074
Andaman & Nicobar,2020,2,744107,1717074
Andaman & Nicobar,2020,2,744112,1717074
Andaman & Nicobar,2020,2,744211,1717074
Andaman & Nicobar,2020,2,744205,1717074
Andaman & Nicobar,2020,3,744103,1717074
Andaman & Nicobar,2020,3,744105,1717074
Andaman & Nicobar,2020,3,744101,1717074
Andaman & Nicobar,2020,3,744102,1717074
Andaman & Nicobar,2020,3,744202,1717074
Andaman & Nicobar,2020,3,744104,1717074
Andaman & Nicobar,2020,3,744107,1717074
Andaman & Nicobar,2020,3,744112,1717074
Andaman & Nicobar,2020,3,744211,1717074
Andaman & Nicobar,2020,3,744205,1717074
Andaman & Nicobar,2020,4,744103,1717074
Andaman & Nicobar,2020,4,744105,1717074
Andaman & Nicobar,2020,4,744101,1717074
Andaman & Nicobar,2020,4,744102,1717074
Andaman & Nicobar,2020,4,744202,1717074
Andaman & Nicobar,2020,4,744107,1717074
Andaman & Nicobar,2020,4,744104,1717074
Andaman & Nicobar,2020,4,744112,1717074
Andaman & Nicobar,2020,4,744211,1717074
Andaman & Nicobar,2020,4,744205,1717074
Andaman & Nicobar,2021,1,744103,1717074
Andaman & Nicobar,2021,1,744105,1717074
Andaman & Nicobar,2021,1,744101,1717074
Andaman & Nicobar,2021,1,744102,1717074
Andaman & Nicobar,2021,1,744202,1717074
Andaman & Nicobar,2021,1,744107,1717074
Andaman & Nicobar,2021,1,744104,1717074
Andaman & Nicobar,2021,1,744112,1717074
Andaman & Nicobar,2021,1,744211,1717074
Andaman & Nicobar,2021,1,744205,1717074
Andaman & Nicobar,2021,2,744103,1717074
Andaman & Nicobar,2021,2,744105,1717074
Andaman & Nicobar,2021,2,744101,1717074
Andaman & Nicobar,2021,2,744102,1717074
Andaman & Nicobar,2021,2,744202,1717074
Andaman & Nicobar,2021,2,744107,1717074
Andaman & Nicobar,2021,2,744104,1717074
Andaman & Nicobar,2021,2,744112,1717074
Andaman & Nicobar,2021,2,744211,1717074
Andaman & Nicobar,2021,2,744205,1717074
Andaman & Nicobar,2021,3,744103,1717074
Andaman & Nicobar,2021,3,744105,1717074
Andaman & Nicobar,2021,3,744101,1717074
Andaman & Nicobar,2021,3,744102,1717074
Andaman & Nicobar,2021,3,744202,1717074
Andaman & Nicobar,2021,3,744107,1717074
Andaman & Nicobar,2021,3,744104,1717074
Andaman & Nicobar,2021,3,744112,1717074
Andaman & Nicobar,2021,3,744211,1717074
Andaman & Nicobar,2021,3,744205,1717074
Andaman & Nicobar,2021,4,744103,1717074
Andaman & Nicobar,2021,4,744105,1717074
Andaman & Nicobar,2021,4,744101,1717074
Andaman & Nicobar,2021,4,744102,1717074
Andaman & Nicobar,2021,4,744202,1717074
Andaman & Nicobar,2021,4,744107,1717074
Andaman & Nicobar,2021,4,744104,1717074
Andaman & Nicobar,2021,4,744112,1717074
Andaman & Nicobar,2021,4,744211,1717074
Andaman & Nicobar,2021,4,744205,1717074
Andaman & Nicobar,2022,1,744103,1717074
Andaman & Nicobar,2022,1,744105,1717074
Andaman & Nicobar,2022,1,744101,1717074
Andaman & Nicobar,2022,1,744102,1717074
Andaman & Nicobar,2022,1,744202,1717074
Andaman & Nicobar,2022,1,744107,1717074
Andaman & Nicobar,2022,1,744104,1717074
Andaman & Nicobar,2022,1,744112,1717074
Andaman & Nicobar,2022,1,744211,1717074
Andaman & Nicobar,2022,1,744205,1717074
Andaman & Nicobar,2022,2,744103,1717074
Andaman & Nicobar,2022,2,744105,1717074
Andaman & Nicobar,2022,2,744101,1717074
Andaman & Nicobar,2022,2,744102,1717074
Andaman & Nicobar,2022,2,744202,1717074
Andaman & Nicobar,2022,2,744107,1717074
Andaman & Nicobar,2022,2,744104,1717074
Andaman & Nicobar,2022,2,744112,1717074
Andaman & Nicobar,2022,2,744211,1717074
Andaman & Nicobar,2022,2,744205,1717074
Andaman & Nicobar,2022,3,744103,1717074
Andaman & Nicobar,2022,3,744105,1717074
Andaman & Nicobar,2022,3,744101,1717074
Andaman & Nicobar,2022,3,744102,1717074
Andaman & Nicobar,2022,3,744202,1717074
Andaman & Nicobar,2022,3,744107,1717074
Andaman & Nicobar,2022,3,744104,1717074
Andaman & Nicobar,2022,3,744112,1717074
Andaman & Nicobar,2022,3,744211,1717074
Andaman & Nicobar,2022,3,744205,1717074
Andaman & Nicobar,2022,4,744103,1717074
Andaman & Nicobar,2022,4,744105,1717074
Andaman & Nicobar,2022,4,744101,1717074
Andaman & Nicobar,2022,4,744102,1717074
Andaman & Nicobar,2022,4,744202,1717074
Andaman & Nicobar,2022,4,744107,1717074
Andaman & Nicobar,2022,4,744104,1717074
Andaman & Nicobar,2022,4,744112,1717074
Andaman & Nicobar,2022,4,744211,1717074
Andaman & Nicobar,2022,4,744205,1717074
Andaman & Nicobar,2023,1,744103,1717074
Andaman & Nicobar,2023,1,744105,1717074
Andaman & Nicobar,2023,1,744101,1717074
Andaman & Nicobar,2023,1,744102,1717074
Andaman & Nicobar,2023,1,744202,1717074
Andaman & Nicobar,2023,1,744107,1717074
Andaman & Nicobar,2023,1,744104,1717074
Andaman & Nicobar,2023,1,744112,1717074
Andaman & Nicobar,2023,1,744211,1717074
Andaman & Nicobar,2023,1,744205,1717074
Andaman & Nicobar,2023,2,744103,1717074
Andaman & Nicobar,2023,2,744105,1717074
Andaman & Nicobar,2023,2,744101,1717074
Andaman & Nicobar,2023,2,744102,1717074
Andaman & Nicobar,2023,2,744202,1717074
Andaman & Nicobar,2023,2,744107,1717074
Andaman & Nicobar,2023,2,744104,1717074
Andaman & Nicobar,2023,2,744112,1717074
Andaman & Nicobar,2023,2,744211,1717074
Andaman & Nicobar,2023,2,744205,1717074
Andaman & Nicobar,2023,3,744103,1717074
Andaman & Nicobar,2023,3,744105,1717074
Andaman & Nicobar,2023,3,744101,1717074
Andaman & Nicobar,2023,3,744102,1717074
Andaman & Nicobar,2023,3,744202,1717074
Andaman & Nicobar,2023,3,744107,1717074
Andaman & Nicobar,2023,3,744104,1717074
Andaman & Nicobar,2023,3,744112,1717074
Andaman & Nicobar,2023,3,744211,1717074
Andaman & Nicobar,2023,3,744205,1717074
Andaman & Nicobar,2023,4,744103,1717074
Andaman & Nicobar,2023,4,744105,1717074
Andaman & Nicobar,2023,4,744101,1717074
Andaman & Nicobar,2023,4,744102,1717074
Andaman & Nicobar,2023,4,744202,1717074
Andaman & Nicobar,2023,4,744107,1717074
Andaman & Nicobar,2023,4,744104,1717074
Andaman & Nicobar,2023,4,744112,1717074
Andaman & Nicobar,2023,4,744211,1717074
Andaman & Nicobar,2023,4,744205,1717074
Andaman & Nicobar,2024,1,744103,1717074
Andaman & Nicobar,2024,1,744105,1717074
Andaman & Nicobar,2024,1,744101,1717074
Andaman & Nicobar,2024,1,744102,1717074
Andaman & Nicobar,2024,1,744202,1717074
Andaman & Nicobar,2024,1,744107,1717074
Andaman & Nicobar,2024,1,744104,1717074
Andaman & Nicobar,2024,1,744112,1717074
Andaman & Nicobar,2024,1,744211,1717074
Andaman & Nicobar,2024,1,744205,1717074
Andaman & Nicobar,2024,2,744103,1717074
Andaman & Nicobar,2024,2,744105,1717074
Andaman & Nicobar,2024,2,744101,1717074
Andaman & Nicobar,2024,2,744102,1717074
Andaman & Nicobar,2024,2,744202,1717074
Andaman & Nicobar,2024,2,744107,1717074
Andaman & Nicobar,2024,2,744104,1717074
Andaman & Nicobar,2024,2,744112,1717074
Andaman & Nicobar,2024,2,744211,1717074
Andaman & Nicobar,2024,2,744205,1717074
Andaman & Nicobar,2024,3,744103,1717074
Andaman & Nicobar,2024,3,744105,1717074
Andaman & Nicobar,2024,3,744102,1717074
Andaman & Nicobar,2024,3,744104,1717074
Andaman & Nicobar,2024,3,744101,1717074
Andaman & Nicobar,2024,3,744202,1717074
Andaman & Nicobar,2024,3,744106,1717074
Andaman & Nicobar,2024,3,744211,1717074
Andaman & Nicobar,2024,3,744107,1717074
Andaman & Nicobar,2024,3,744301,1717074
Andaman & Nicobar,2024,4,744103,1717074
Andaman & Nicobar,2024,4,744105,1717074
Andaman & Nicobar,2024,4,744104,1717074
Andaman & Nicobar,2024,4,744102,1717074
Andaman & Nicobar,2024,4,744101,1717074
Andaman & Nicobar,2024,4,744202,1717074
Andaman & Nicobar,2024,4,744106,1717074
Andaman & Nicobar,2024,4,744211,1717074
Andaman & Nicobar,2024,4,744107,1717074
Andaman & Nicobar,2024,4,744301,1717074
Andhra Pradesh,2018,1,517501,1717074
Andhra Pradesh,2018,1,530016,1717074
Andhra Pradesh,2018,1,517507,1717074
Andhra Pradesh,2018,1,515001,1717074
Andhra Pradesh,2018,1,516001,1717074
Andhra Pradesh,2018,1,518002,1717074
Andhra Pradesh,2018,1,530026,1717074
Andhra Pradesh,2018,1,516360,1717074
Andhra Pradesh,2018,1,520010,1717074
Andhra Pradesh,2018,1,524002,1717074
Andhra Pradesh,2018,2,517501,1717074
Andhra Pradesh,2018,2,517507,1717074
Andhra Pradesh,2018,2,530016,1717074
Andhra Pradesh,2018,2,515001,1717074
Andhra Pradesh,2018,2,516001,1717074
Andhra Pradesh,2018,2,518002,1717074
Andhra Pradesh,2018,2,516360,1717074
Andhra Pradesh,2018,2,530026,1717074
Andhra Pradesh,2018,2,520010,1717074
Andhra Pradesh,2018,2,524002,1717074
Andhra Pradesh,2018,3,517501,1717074
Andhra Pradesh,2018,3,517507,1717074
Andhra Pradesh,2018,3,530016,1717074
Andhra Pradesh,2018,3,515001,1717074
Andhra Pradesh,2018,3,516001,1717074
Andhra Pradesh,2018,3,518002,1717074
Andhra Pradesh,2018,3,516360,1717074
Andhra Pradesh,2018,3,530026,1717074
Andhra Pradesh,2018,3,520010,1717074
Andhra Pradesh,2018,3,524002,1717074
Andhra Pradesh,2018,4,517501,1717074
Andhra Pradesh,2018,4,517507,1717074
Andhra Pradesh,2018,4,530016,1717074
Andhra Pradesh,2018,4,515001,1717074
Andhra Pradesh,2018,4,516001,1717074
Andhra Pradesh,2018,4,518002,1717074
Andhra Pradesh,2018,4,516360,1717074
Andhra Pradesh,2018,4,530026,1717074
Andhra Pradesh,2018,4,520010,1717074
Andhra Pradesh,2018,4,524002,1717074
Andhra Pradesh,2019,1,517501,1717074
Andhra Pradesh,2019,1,517507,1717074
Andhra Pradesh,2019,1,530016,1717074
Andhra Pradesh,2019,1,515001,1717074
Andhra Pradesh,2019,1,516001,1717074
Andhra Pradesh,2019,1,518002,1717074
Andhra Pradesh,2019,1,530026,1717074
Andhra Pradesh,2019,1,516360,1717074
Andhra Pradesh,2019,1,520010,1717074
Andhra Pradesh,2019,1,524002,1717074
Andhra Pradesh,2019,2,517501,1717074
Andhra Pradesh,2019,2,517507,1717074
Andhra Pradesh,2019,2,530016,1717074
Andhra Pradesh,2019,2,515001,1717074
Andhra Pradesh,2019,2,516001,1717074
Andhra Pradesh,2019,2,518002,1717074
Andhra Pradesh,2019,2,530026,1717074
Andhra Pradesh,2019,2,516360,1717074
Andhra Pradesh,2019,2,520010,1717074
Andhra Pradesh,2019,2,524002,1717074
Andhra Pradesh,2019,3,517501,1717074
Andhra Pradesh,2019,3,517507,1717074
Andhra Pradesh,2019,3,530016,1717074
Andhra Pradesh,2019,3,515001,1717074
Andhra Pradesh,2019,3,518002,1717074
Andhra Pradesh,2019,3,516001,1717074
Andhra Pradesh,2019,3,530026,1717074
Andhra Pradesh,2019,3,516360,1717074
Andhra Pradesh,2019,3,520010,1717074
Andhra Pradesh,2019,3,524002,1717074
Andhra Pradesh,2019,4,517501,1717074
Andhra Pradesh,2019,4,517507,1717074
Andhra Pradesh,2019,4,530016,1717074
Andhra Pradesh,2019,4,515001,1717074
Andhra Pradesh,2019,4,516001,1717074
Andhra Pradesh,2019,4,518002,1717074
Andhra Pradesh,2019,4,516360,1717074
Andhra Pradesh,2019,4,530026,1717074
Andhra Pradesh,2019,4,520010,1717074
Andhra Pradesh,2019,4,524002,1717074
Andhra Pradesh,2020,1,517501,1717074
Andhra Pradesh,2020,1,517507,1717074
Andhra Pradesh,2020,1,530016,1717074
Andhra Pradesh,2020,1,515001,1717074
Andhra Pradesh,2020,1,518002,1717074
Andhra Pradesh,2020,1,516001,1717074
Andhra Pradesh,2020,1,516360,1717074
Andhra Pradesh,2020,1,530026,1717074
Andhra Pradesh,2020,1,524002,1717074
Andhra Pradesh,2020,1,520010,1717074
Andhra Pradesh,2020,2,517501,1717074
Andhra Pradesh,2020,2,517507,1717074
Andhra Pradesh,2020,2,530016,1717074
Andhra Pradesh,2020,2,515001,1717074
Andhra Pradesh,2020,2,518002,1717074
Andhra Pradesh,2020,2,516001,1717074
Andhra Pradesh,2020,2,516360,1717074
Andhra Pradesh,2020,2,524002,1717074
Andhra Pradesh,2020,2,530026,1717074
Andhra Pradesh,2020,2,520010,1717074
Andhra Pradesh,2020,3,517501,1717074
Andhra Pradesh,2020,3,517507,1717074
Andhra Pradesh,2020,3,515001,1717074
Andhra Pradesh,2020,3,530016,1717074
Andhra Pradesh,2020,3,518002,1717074
Andhra Pradesh,2020,3,516001,1717074
Andhra Pradesh,2020,3,516360,1717074
Andhra Pradesh,2020,3,524002,1717074
Andhra Pradesh,2020,3,530026,1717074
Andhra Pradesh,2020,3,520010,1717074
Andhra Pradesh,2020,4,517501,1717074
Andhra Pradesh,2020,4,517507,1717074
Andhra Pradesh,2020,4,515001,1717074
Andhra Pradesh,2020,4,530016,1717074
Andhra Pradesh,2020,4,518002,1717074
Andhra Pradesh,2020,4,516001,1717074
Andhra Pradesh,2020,4,516360,1717074
Andhra Pradesh,2020,4,524002,1717074
Andhra Pradesh,2020,4,530026,1717074
Andhra Pradesh,2020,4,520010,1717074
Andhra Pradesh,2021,1,517501,1717074
Andhra Pradesh,2021,1,517507,1717074
Andhra Pradesh,2021,1,515001,1717074
Andhra Pradesh,2021,1,530016,1717074
Andhra Pradesh,2021,1,518002,1717074
Andhra Pradesh,2021,1,516001,1717074
Andhra Pradesh,2021,1,516360,1717074
Andhra Pradesh,2021,1,524002,1717074
Andhra Pradesh,2021,1,530026,1717074
Andhra Pradesh,2021,1,520010,1717074
Andhra Pradesh,2021,2,517501,1717074
Andhra Pradesh,2021,2,517507,1717074
Andhra Pradesh,2021,2,515001,1717074
Andhra Pradesh,2021,2,530016,1717074
Andhra Pradesh,2021,2,518002,1717074
Andhra Pradesh,2021,2,516001,1717074
Andhra Pradesh,2021,2,516360,1717074
Andhra Pradesh,2021,2,524002,1717074
Andhra Pradesh,2021,2,530026,1717074
Andhra Pradesh,2021,2,520010,1717074
Andhra Pradesh,2021,3,517501,1717074
Andhra Pradesh,2021,3,517507,1717074
Andhra Pradesh,2021,3,515001,1717074
Andhra Pradesh,2021,3,530016,1717074
Andhra Pradesh,2021,3,518002,1717074
Andhra Pradesh,2021,3,516001,1717074
Andhra Pradesh,2021,3,516360,1717074
Andhra Pradesh,2021,3,524002,1717074
Andhra Pradesh,2021,3,530026,1717074
Andhra Pradesh,2021,3,520010,1717074
Andhra Pradesh,2021,4,517501,1717074
Andhra Pradesh,2021,4,517507,1717074
Andhra Pradesh,2021,4,515001,1717074
Andhra Pradesh,2021,4,530016,1717074
Andhra Pradesh,2021,4,518002,1717074
Andhra Pradesh,2021,4,516001,1717074
Andhra Pradesh,2021,4,516360,1717074
Andhra Pradesh,2021,4,524002,1717074
Andhra Pradesh,2021,4,530026,1717074
Andhra Pradesh,2021,4,520010,1717074
Andhra Pradesh,2022,1,517501,1717074
Andhra Pradesh,2022,1,517507,1717074
Andhra Pradesh,2022,1,515001,1717074
Andhra Pradesh,2022,1,530016,1717074
Andhra Pradesh,2022,1,518002,1717074
Andhra Pradesh,2022,1,516001,1717074
Andhra Pradesh,2022,1,516360,1717074
Andhra Pradesh,2022,1,524002,1717074
Andhra Pradesh,2022,1,530026,1717074
Andhra Pradesh,2022,1,520010,1717074
Andhra Pradesh,2022,2,517501,1717074
Andhra Pradesh,2022,2,517507,1717074
Andhra Pradesh,2022,2,515001,1717074
Andhra Pradesh,2022,2,530016,1717074
Andhra Pradesh,2022,2,518002,1717074
Andhra Pradesh,2022,2,516001,1717074
Andhra Pradesh,2022,2,516360,1717074
Andhra Pradesh,2022,2,524002,1717074
Andhra Pradesh,2022,2,530026,1717074
Andhra Pradesh,2022,2,520010,1717074
Andhra Pradesh,2022,3,517501,1717074
Andhra Pradesh,2022,3,517507,1717074
Andhra Pradesh,2022,3,515001,1717074
Andhra Pradesh,2022,3,530016,1717074
Andhra Pradesh,2022,3,518002,1717074
Andhra Pradesh,2022,3,516001,1717074
Andhra Pradesh,2022,3,516360,1717074
Andhra Pradesh,2022,3,524002,1717074
Andhra Pradesh,2022,3,530026,1717074
Andhra Pradesh,2022,3,520010,1717074
Andhra Pradesh,2022,4,517501,1717074
Andhra Pradesh,2022,4,517507,1717074
Andhra Pradesh,2022,4,515001,1717074
Andhra Pradesh,2022,4,530016,1717074
Andhra Pradesh,2022,4,518002,1717074
Andhra Pradesh,2022,4,516001,1717074
Andhra Pradesh,2022,4,516360,1717074
Andhra Pradesh,2022,4,524002,1717074
Andhra Pradesh,2022,4,530026,1717074
Andhra Pradesh,2022,4,520010,1717074
Andhra Pradesh,2023,1,517501,1717074
Andhra Pradesh,2023,1,517507,1717074
Andhra Pradesh,2023,1,515001,1717074
Andhra Pradesh,2023,1,530016,1717074
Andhra Pradesh,2023,1,518002,1717074
Andhra Pradesh,2023,1,516001,1717074
Andhra Pradesh,2023,1,516360,1717074
Andhra Pradesh,2023,1,524002,1717074
Andhra Pradesh,2023,1,530026,1717074
Andhra Pradesh,2023,1,520010,1717074
Andhra Pradesh,2023,2,517501,1717074
Andhra Pradesh,2023,2,517507,1717074
Andhra Pradesh,2023,2,515001,1717074
Andhra Pradesh,2023,2,530016,1717074
Andhra Pradesh,2023,2,518002,1717074
Andhra Pradesh,2023,2,516001,1717074
Andhra Pradesh,2023,2,516360,1717074
Andhra Pradesh,2023,2,524002,1717074
Andhra Pradesh,2023,2,530026,1717074
Andhra Pradesh,2023,2,520001,1717074
Andhra Pradesh,2023,3,517501,1717074
Andhra Pradesh,2023,3,517507,1717074
Andhra Pradesh,2023,3,515001,1717074
Andhra Pradesh,2023,3,530016,1717074
Andhra Pradesh,2023,3,518002,1717074
Andhra Pradesh,2023,3,516001,1717074
Andhra Pradesh,2023,3,516360,1717074
Andhra Pradesh,2023,3,524002,1717074
Andhra Pradesh,2023,3,530026,1717074
Andhra Pradesh,2023,3,520001,1717074
Andhra Pradesh,2023,4,517501,1717074
Andhra Pradesh,2023,4,517507,1717074
Andhra Pradesh,2023,4,515001,1717074
Andhra Pradesh,2023,4,530016,1717074
Andhra Pradesh,2023,4,518002,1717074
Andhra Pradesh,2023,4,516001,1717074
Andhra Pradesh,2023,4,516360,1717074
Andhra Pradesh,2023,4,524002,1717074
Andhra Pradesh,2023,4,530026,1717074
Andhra Pradesh,2023,4,520001,1717074
Andhra Pradesh,2024,1,517501,1717074
Andhra Pradesh,2024,1,517507,1717074
Andhra Pradesh,2024,1,515001,1717074
Andhra Pradesh,2024,1,530016,1717074
Andhra Pradesh,2024,1,518002,1717074
Andhra Pradesh,2024,1,516001,1717074
Andhra Pradesh,2024,1,516360,1717074
Andhra Pradesh,2024,1,524002,1717074
Andhra Pradesh,2024,1,530026,1717074
Andhra Pradesh,2024,1,520001,1717074
Andhra Pradesh,2024,2,517501,1717074
Andhra Pradesh,2024,2,517507,1717074
Andhra Pradesh,2024,2,515001,1717074
Andhra Pradesh,2024,2,530016,1717074
Andhra Pradesh,2024,2,518002,1717074
Andhra Pradesh,2024,2,516001,1717074
Andhra Pradesh,2024,2,516360,1717074
Andhra Pradesh,2024,2,524002,1717074
Andhra Pradesh,2024,2,530026,1717074
Andhra Pradesh,2024,2,520001,1717074
Andhra Pradesh,2024,3,517501,1717074
Andhra Pradesh,2024,3,516001,1717074
Andhra Pradesh,2024,3,518002,1717074
Andhra Pradesh,2024,3,515001,1717074
Andhra Pradesh,2024,3,520003,1717074
Andhra Pradesh,2024,3,524002,1717074
Andhra Pradesh,2024,3,516360,1717074
Andhra Pradesh,2024,3,520007,1717074
Andhra Pradesh,2024,3,530016,1717074
Andhra Pradesh,2024,3,520010,1717074
Andhra Pradesh,2024,4,517501,1717074
Andhra Pradesh,2024,4,516001,1717074
Andhra Pradesh,2024,4,518002,1717074
Andhra Pradesh,2024,4,515001,1717074
Andhra Pradesh,2024,4,520003,1717074
Andhra Pradesh,2024,4,524002,1717074
Andhra Pradesh,2024,4,520007,1717074
Andhra Pradesh,2024,4,530016,1717074
Andhra Pradesh,2024,4,516360,1717074
Andhra Pradesh,2024,4,520010,1717074
Arunachal Pradesh,2018,1,791110,1717074
Arunachal Pradesh,2018,1,791111,1717074
Arunachal Pradesh,2018,1,791113,1717074
Arunachal Pradesh,2018,1,791102,1717074
Arunachal Pradesh,2018,1,790104,1717074
Arunachal Pradesh,2018,1,791001,1717074
Arunachal Pradesh,2018,1,791109,1717074
Arunachal Pradesh,2018,1,792103,1717074
Arunachal Pradesh,2018,1,792001,1717074
Arunachal Pradesh,2018,1,790116,1717074
Arunachal Pradesh,2018,2,791110,1717074
Arunachal Pradesh,2018,2,791111,1717074
Arunachal Pradesh,2018,2,791113,1717074
Arunachal Pradesh,2018,2,791102,1717074
Arunachal Pradesh,2018,2,790104,1717074
Arunachal Pradesh,2018,2,792103,1717074
Arunachal Pradesh,2018,2,791001,1717074
Arunachal Pradesh,2018,2,792001,1717074
Arunachal Pradesh,2018,2,791109,1717074
Arunachal Pradesh,2018,2,790116,1717074
Arunachal Pradesh,2018,3,791110,1717074
Arunachal Pradesh,2018,3,791111,1717074
Arunachal Pradesh,2018,3,791113,1717074
Arunachal Pradesh,2018,3,791102,1717074
Arunachal Pradesh,2018,3,790104,1717074
Arunachal Pradesh,2018,3,792103,1717074
Arunachal Pradesh,2018,3,791001,1717074
Arunachal Pradesh,2018,3,792001,1717074
Arunachal Pradesh,2018,3,790116,1717074
Arunachal Pradesh,2018,3,791109,1717074
Arunachal Pradesh,2018,4,791110,1717074
Arunachal Pradesh,2018,4,791111,1717074
Arunachal Pradesh,2018,4,791113,1717074
Arunachal Pradesh,2018,4,791102,1717074
Arunachal Pradesh,2018,4,790104,1717074
Arunachal Pradesh,2018,4,792103,1717074
Arunachal Pradesh,2018,4,792001,1717074
Arunachal Pradesh,2018,4,791001,1717074
Arunachal Pradesh,2018,4,790116,1717074
Arunachal Pradesh,2018,4,791109,1717074
Arunachal Pradesh,2019,1,791110,1717074
Arunachal Pradesh,2019,1,791111,1717074
Arunachal Pradesh,2019,1,791113,1717074
Arunachal Pradesh,2019,1,791102,1717074
Arunachal Pradesh,2019,1,790104,1717074
Arunachal Pradesh,2019,1,792103,1717074
Arunachal Pradesh,2019,1,792001,1717074
Arunachal Pradesh,2019,1,791001,1717074
Arunachal Pradesh,2019,1,790116,1717074
Arunachal Pradesh,2019,1,791109,1717074
Arunachal Pradesh,2019,2,791110,1717074
Arunachal Pradesh,2019,2,791111,1717074
Arunachal Pradesh,2019,2,791113,1717074
Arunachal Pradesh,2019,2,791102,1717074
Arunachal Pradesh,2019,2,790104,1717074
Arunachal Pradesh,2019,2,792103,1717074
Arunachal Pradesh,2019,2,791001,1717074
Arunachal Pradesh,2019,2,792001,1717074
Arunachal Pradesh,2019,2,790116,1717074
