States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Dadra and Nagar Haveli and Daman and Diu,2024,2,Peer-to-peer payments,6493955,14085735502
Dadra and Nagar Haveli and Daman and Diu,2024,2,Recharge & bill payments,1370838,1073613414
Dadra and Nagar Haveli and Daman and Diu,2024,2,Financial Services,7715,10300178
Dadra and Nagar Haveli and Daman and Diu,2024,2,Others,10307,7294515
Dadra and Nagar Haveli and Daman and Diu,2024,3,Merchant payments,16778218,5563348577
Dadra and Nagar Haveli and Daman and Diu,2024,3,Peer-to-peer payments,7251757,14881287713
Dadra and Nagar Haveli and Daman and Diu,2024,3,Recharge & bill payments,1397428,1094723407
Dadra and Nagar Haveli and Daman and Diu,2024,3,Financial Services,10550,15369479
Dadra and Nagar Haveli and Daman and Diu,2024,3,Others,8317,9902390
Dadra and Nagar Haveli and Daman and Diu,2024,4,Merchant payments,19213230,6331132984
Dadra and Nagar Haveli and Daman and Diu,2024,4,Peer-to-peer payments,7882319,16487512787
Dadra and Nagar Haveli and Daman and Diu,2024,4,Recharge & bill payments,1336160,1107688213
Dadra and Nagar Haveli and Daman and Diu,2024,4,Financial Services,25423,12601733
Dadra and Nagar Haveli and Daman and Diu,2024,4,Others,6568,6285744
Delhi,2018,1,Recharge & bill payments,3947297,1320559613
Delhi,2018,1,Peer-to-peer payments,2380820,9125685135
Delhi,2018,1,Merchant payments,339809,375393115
Delhi,2018,1,Financial Services,136240,45588429
Delhi,2018,1,Others,318588,344277515
Delhi,2018,2,Recharge & bill payments,4511737,2078183616
Delhi,2018,2,Peer-to-peer payments,3542716,14348179103
Delhi,2018,2,Merchant payments,837001,631597791
Delhi,2018,2,Financial Services,205991,66584728
Delhi,2018,2,Others,276278,321754664
Delhi,2018,3,Peer-to-peer payments,8557153,22670122889
Delhi,2018,3,Recharge & bill payments,5305635,3261844271
Delhi,2018,3,Merchant payments,3808395,1048422634
Delhi,2018,3,Financial Services,274526,45051151
Delhi,2018,3,Others,601339,350405916
Delhi,2018,4,Peer-to-peer payments,9973249,32389252495
Delhi,2018,4,Merchant payments,9958967,2738429839
Delhi,2018,4,Recharge & bill payments,7483633,3961160543
Delhi,2018,4,Financial Services,265004,58162003
Delhi,2018,4,Others,1506866,575852739
Delhi,2019,1,Peer-to-peer payments,20216287,48250023721
Delhi,2019,1,Merchant payments,13875931,3996618720
Delhi,2019,1,Recharge & bill payments,10744978,5521320539
Delhi,2019,1,Financial Services,223095,30997040
Delhi,2019,1,Others,1947036,670171770
Delhi,2019,2,Merchant payments,20891431,6816878923
Delhi,2019,2,Peer-to-peer payments,20570311,65953571241
Delhi,2019,2,Recharge & bill payments,12869453,8035701902
Delhi,2019,2,Financial Services,137774,33985069
Delhi,2019,2,Others,2702543,866678928
Delhi,2019,3,Merchant payments,29453368,9857221392
Delhi,2019,3,Peer-to-peer payments,25201978,81904443496
Delhi,2019,3,Recharge & bill payments,11133404,10406524193
Delhi,2019,3,Financial Services,92061,27952187
Delhi,2019,3,Others,3657065,1000670778
Delhi,2019,4,Peer-to-peer payments,33040093,105858524152
Delhi,2019,4,Merchant payments,32537378,12864577363
Delhi,2019,4,Recharge & bill payments,11609898,9500486081
Delhi,2019,4,Financial Services,57063,21512528
Delhi,2019,4,Others,3500565,779367300
Delhi,2020,1,Merchant payments,33951545,14470782771
Delhi,2020,1,Peer-to-peer payments,32410795,108987600006
Delhi,2020,1,Recharge & bill payments,12822919,9498791148
Delhi,2020,1,Financial Services,46529,39908838
Delhi,2020,1,Others,2515816,619460879
Delhi,2020,2,Peer-to-peer payments,27155938,86227124454
Delhi,2020,2,Merchant payments,24963931,12708327044
Delhi,2020,2,Recharge & bill payments,13568505,8699886044
Delhi,2020,2,Financial Services,64790,75405868
Delhi,2020,2,Others,288854,162694793
Delhi,2020,3,Peer-to-peer payments,41498638,140074023548
Delhi,2020,3,Merchant payments,40973792,21858176583
Delhi,2020,3,Recharge & bill payments,13448341,12883226305
Delhi,2020,3,Financial Services,85689,114341865
Delhi,2020,3,Others,485401,234194503
Delhi,2020,4,Merchant payments,54581166,31106554563
Delhi,2020,4,Peer-to-peer payments,49631928,171546055992
Delhi,2020,4,Recharge & bill payments,14862946,12921793577
Delhi,2020,4,Financial Services,114862,160007920
Delhi,2020,4,Others,1349515,530676173
Delhi,2021,1,Merchant payments,72615587,39861532639
Delhi,2021,1,Peer-to-peer payments,61957428,210823551741
Delhi,2021,1,Recharge & bill payments,21164274,15447408659
Delhi,2021,1,Financial Services,153039,203106852
Delhi,2021,1,Others,1468676,592745152
Delhi,2021,2,Merchant payments,75620295,42933366743
Delhi,2021,2,Peer-to-peer payments,68497718,223034955528
Delhi,2021,2,Recharge & bill payments,25026678,15310096463
Delhi,2021,2,Financial Services,158170,190019761
Delhi,2021,2,Others,854403,472659189
Delhi,2021,3,Merchant payments,115250887,64006915631
Delhi,2021,3,Peer-to-peer payments,93292876,298005532606
Delhi,2021,3,Recharge & bill payments,28427032,20934734872
Delhi,2021,3,Financial Services,144460,220660990
Delhi,2021,3,Others,1645353,690472449
Delhi,2021,4,Merchant payments,149204611,88990516304
Delhi,2021,4,Peer-to-peer payments,112380292,376556972334
Delhi,2021,4,Recharge & bill payments,30127352,22290161823
Delhi,2021,4,Financial Services,199280,287950130
Delhi,2021,4,Others,771824,569713471
Delhi,2022,1,Merchant payments,174454937,98212381476
Delhi,2022,1,Peer-to-peer payments,125111881,415305045689
Delhi,2022,1,Recharge & bill payments,29435981,22482865573
Delhi,2022,1,Financial Services,195184,271039329
Delhi,2022,1,Others,1801878,693588769
Delhi,2022,2,Merchant payments,233412802,121657706565
Delhi,2022,2,Peer-to-peer payments,143447534,480685895059
Delhi,2022,2,Recharge & bill payments,32971294,26876059610
Delhi,2022,2,Financial Services,160827,209425799
Delhi,2022,2,Others,641727,426563426
Delhi,2022,3,Merchant payments,276635347,134292748569
Delhi,2022,3,Peer-to-peer payments,160580425,509428627035
Delhi,2022,3,Recharge & bill payments,37572389,33177115465
Delhi,2022,3,Financial Services,195218,265479580
Delhi,2022,3,Others,608782,448676466
Delhi,2022,4,Merchant payments,305621913,153114813286
Delhi,2022,4,Peer-to-peer payments,171970100,559069397371
Delhi,2022,4,Recharge & bill payments,36775874,31954251758
Delhi,2022,4,Financial Services,228639,299454653
Delhi,2022,4,Others,606931,477098951
Delhi,2023,1,Merchant payments,246682850,116053064134
Delhi,2023,1,Peer-to-peer payments,135403837,460727324748
Delhi,2023,1,Recharge & bill payments,26976608,33945163887
Delhi,2023,1,Financial Services,206979,275072622
Delhi,2023,1,Others,482829,402484189
Delhi,2023,2,Merchant payments,300493650,126927948779
Delhi,2023,2,Peer-to-peer payments,151909146,498879007930
Delhi,2023,2,Recharge & bill payments,29059235,35251178665
Delhi,2023,2,Financial Services,219538,302441499
Delhi,2023,2,Others,457429,367938784
Delhi,2023,3,Merchant payments,347213404,143772297471
Delhi,2023,3,Peer-to-peer payments,167791074,523701514112
Delhi,2023,3,Recharge & bill payments,31015600,39925428804
Delhi,2023,3,Financial Services,275512,439989766
Delhi,2023,3,Others,411393,360021285
Delhi,2023,4,Merchant payments,381250463,168766495844
Delhi,2023,4,Peer-to-peer payments,185276322,588131157564
Delhi,2023,4,Recharge & bill payments,30903762,41889435437
Delhi,2023,4,Financial Services,317005,501353917
Delhi,2023,4,Others,403194,361276587
Delhi,2024,1,Merchant payments,419098312,183390284466
Delhi,2024,1,Peer-to-peer payments,197330105,604445932793
Delhi,2024,1,Recharge & bill payments,33501160,43595822485
Delhi,2024,1,Financial Services,319041,606216973
Delhi,2024,1,Others,485440,475774396
Delhi,2024,2,Merchant payments,519857504,208928942309
Delhi,2024,2,Peer-to-peer payments,221272475,641147355249
Delhi,2024,2,Recharge & bill payments,35429237,45318295969
Delhi,2024,2,Financial Services,376570,743336505
Delhi,2024,2,Others,604614,779746148
Delhi,2024,3,Merchant payments,564668341,231032600851
Delhi,2024,3,Peer-to-peer payments,242786329,672922448569
Delhi,2024,3,Recharge & bill payments,36462771,52504961937
Delhi,2024,3,Financial Services,463025,936446162
Delhi,2024,3,Others,464057,806926069
Delhi,2024,4,Merchant payments,612111214,261167204054
Delhi,2024,4,Peer-to-peer payments,261559240,745874399814
Delhi,2024,4,Recharge & bill payments,35326994,48224664984
Delhi,2024,4,Financial Services,1115510,932800641
Delhi,2024,4,Others,430124,861416410
Goa,2018,1,Recharge & bill payments,85991,18273814
Goa,2018,1,Peer-to-peer payments,59651,268175048
Goa,2018,1,Merchant payments,7880,11036032
Goa,2018,1,Financial Services,1191,520106
Goa,2018,1,Others,6184,5851743
Goa,2018,2,Recharge & bill payments,120943,30994284
Goa,2018,2,Peer-to-peer payments,87878,419492233
Goa,2018,2,Merchant payments,12456,20162856
Goa,2018,2,Financial Services,1903,733429
Goa,2018,2,Others,6395,7221024
Goa,2018,3,Recharge & bill payments,158797,40314973
Goa,2018,3,Peer-to-peer payments,150297,639468418
Goa,2018,3,Merchant payments,21587,26634198
Goa,2018,3,Financial Services,1867,468171
Goa,2018,3,Others,6963,6281209
Goa,2018,4,Peer-to-peer payments,246426,1021902315
Goa,2018,4,Recharge & bill payments,212122,54832856
Goa,2018,4,Merchant payments,45586,66666114
Goa,2018,4,Financial Services,2523,723599
Goa,2018,4,Others,8098,8880194
Goa,2019,1,Peer-to-peer payments,378848,1310759848
Goa,2019,1,Recharge & bill payments,275277,78212835
Goa,2019,1,Merchant payments,74527,75946974
Goa,2019,1,Financial Services,2013,499592
Goa,2019,1,Others,8147,9904148
Goa,2019,2,Peer-to-peer payments,373759,1391933791
Goa,2019,2,Recharge & bill payments,278060,93218689
Goa,2019,2,Merchant payments,104592,92873009
Goa,2019,2,Financial Services,1211,515860
Goa,2019,2,Others,10819,13325755
Goa,2019,3,Peer-to-peer payments,475178,1704668027
Goa,2019,3,Recharge & bill payments,453806,157952855
Goa,2019,3,Merchant payments,150578,123948571
Goa,2019,3,Financial Services,1510,1282345
Goa,2019,3,Others,11344,12515394
Goa,2019,4,Peer-to-peer payments,698728,2484453030
Goa,2019,4,Recharge & bill payments,552421,205602115
Goa,2019,4,Merchant payments,250893,218404665
Goa,2019,4,Financial Services,1497,649713
Goa,2019,4,Others,11733,14350825
Goa,2020,1,Peer-to-peer payments,817198,2851686769
Goa,2020,1,Recharge & bill payments,678079,244739382
Goa,2020,1,Merchant payments,373110,298421548
Goa,2020,1,Financial Services,1762,1816478
Goa,2020,1,Others,11088,13707055
Goa,2020,2,Recharge & bill payments,758617,241196541
Goa,2020,2,Peer-to-peer payments,493326,1766723888
Goa,2020,2,Merchant payments,221358,168591712
Goa,2020,2,Financial Services,3081,3328361
Goa,2020,2,Others,5710,3775928
Goa,2020,3,Peer-to-peer payments,759351,2723430713
Goa,2020,3,Recharge & bill payments,696770,280187505
Goa,2020,3,Merchant payments,446880,353193881
Goa,2020,3,Financial Services,4985,6418950
Goa,2020,3,Others,7545,5112531
Goa,2020,4,Peer-to-peer payments,1550251,5407626413
Goa,2020,4,Merchant payments,1389834,1123844213
Goa,2020,4,Recharge & bill payments,839199,345088772
Goa,2020,4,Financial Services,7287,10386560
Goa,2020,4,Others,14810,12846789
Goa,2021,1,Peer-to-peer payments,2235456,7553384653
Goa,2021,1,Merchant payments,2195509,1768358977
Goa,2021,1,Recharge & bill payments,880682,410604193
Goa,2021,1,Financial Services,8138,12207778
Goa,2021,1,Others,11764,12687278
Goa,2021,2,Merchant payments,1869384,1411529034
Goa,2021,2,Peer-to-peer payments,1866837,6195032351
Goa,2021,2,Recharge & bill payments,953219,383804809
Goa,2021,2,Financial Services,8303,12371844
Goa,2021,2,Others,12392,10115549
Goa,2021,3,Merchant payments,2865625,2143135315
Goa,2021,3,Peer-to-peer payments,2560305,7871092673
Goa,2021,3,Recharge & bill payments,1017351,438838003
Goa,2021,3,Financial Services,8337,12943224
Goa,2021,3,Others,16145,12416378
Goa,2021,4,Merchant payments,5474662,4384250603
Goa,2021,4,Peer-to-peer payments,4408822,13618351953
Goa,2021,4,Recharge & bill payments,1170180,585734312
Goa,2021,4,Financial Services,11320,17101085
Goa,2021,4,Others,23775,21819163
Goa,2022,1,Merchant payments,6364271,4682000388
Goa,2022,1,Peer-to-peer payments,4640380,14449830642
Goa,2022,1,Recharge & bill payments,1177071,646403472
Goa,2022,1,Financial Services,11677,17490493
Goa,2022,1,Others,20699,20720408
Goa,2022,2,Merchant payments,7812998,5736211014
Goa,2022,2,Peer-to-peer payments,5097942,16372343177
Goa,2022,2,Recharge & bill payments,1279377,738765635
Goa,2022,2,Financial Services,10666,13192736
Goa,2022,2,Others,15071,12525197
Goa,2022,3,Merchant payments,7595135,5112175255
Goa,2022,3,Peer-to-peer payments,4449008,13780955270
Goa,2022,3,Recharge & bill payments,1122869,657115144
Goa,2022,3,Financial Services,9992,12650738
Goa,2022,3,Others,11683,11368868
Goa,2022,4,Merchant payments,10319138,6739205748
Goa,2022,4,Peer-to-peer payments,5652373,17421974715
Goa,2022,4,Recharge & bill payments,1195865,734121701
Goa,2022,4,Financial Services,12147,15705663
Goa,2022,4,Others,13151,13978544
Goa,2023,1,Merchant payments,14273665,9074816758
Goa,2023,1,Peer-to-peer payments,8071768,24773922296
Goa,2023,1,Recharge & bill payments,1816029,1197558557
Goa,2023,1,Financial Services,16209,32648574
Goa,2023,1,Others,17399,18019590
Goa,2023,2,Merchant payments,15990744,10146039934
Goa,2023,2,Peer-to-peer payments,8589659,26985284919
Goa,2023,2,Recharge & bill payments,1917200,1239783487
Goa,2023,2,Financial Services,17352,25141843
Goa,2023,2,Others,15635,15956760
Goa,2023,3,Merchant payments,16565190,10365884105
Goa,2023,3,Peer-to-peer payments,8489945,25735484138
Goa,2023,3,Recharge & bill payments,1913363,1234664127
Goa,2023,3,Financial Services,17422,26274694
Goa,2023,3,Others,13808,12872910
Goa,2023,4,Merchant payments,21003656,12478698529
Goa,2023,4,Peer-to-peer payments,10430430,30342597216
Goa,2023,4,Recharge & bill payments,1991324,1413113823
Goa,2023,4,Financial Services,20827,38067531
Goa,2023,4,Others,14741,15194458
Goa,2024,1,Merchant payments,22163645,12736252466
Goa,2024,1,Peer-to-peer payments,10729197,31099473803
Goa,2024,1,Recharge & bill payments,2087441,1465885657
Goa,2024,1,Financial Services,20782,37240917
Goa,2024,1,Others,12922,13047417
Goa,2024,2,Merchant payments,23908901,13821574623
Goa,2024,2,Peer-to-peer payments,10933835,32155453858
Goa,2024,2,Recharge & bill payments,2120776,1419954245
Goa,2024,2,Financial Services,24891,41870631
Goa,2024,2,Others,12403,15977355
Goa,2024,3,Merchant payments,23789645,13663769858
Goa,2024,3,Peer-to-peer payments,10858222,30761382765
Goa,2024,3,Recharge & bill payments,2070465,1423628089
Goa,2024,3,Financial Services,32037,51120538
Goa,2024,3,Others,11742,13626762
Goa,2024,4,Merchant payments,30381117,17216927595
Goa,2024,4,Peer-to-peer payments,13499590,37720460757
Goa,2024,4,Recharge & bill payments,2166016,1548395751
Goa,2024,4,Financial Services,71254,55469478
Goa,2024,4,Others,13559,21335962
Gujarat,2018,1,Recharge & bill payments,3691952,878929081
Gujarat,2018,1,Peer-to-peer payments,1738974,6318864760
Gujarat,2018,1,Merchant payments,145436,166036668
Gujarat,2018,1,Financial Services,122117,27986679
Gujarat,2018,1,Others,250296,186165068
Gujarat,2018,2,Recharge & bill payments,4643367,1571880396
Gujarat,2018,2,Peer-to-peer payments,2483231,10009680530
Gujarat,2018,2,Merchant payments,275503,356984574
Gujarat,2018,2,Financial Services,140704,38598263
Gujarat,2018,2,Others,202928,185541008
Gujarat,2018,3,Peer-to-peer payments,5287200,15272745138
Gujarat,2018,3,Recharge & bill payments,5117168,1938041689
Gujarat,2018,3,Merchant payments,573440,466209497
Gujarat,2018,3,Financial Services,136468,24930606
Gujarat,2018,3,Others,219873,164477497
Gujarat,2018,4,Peer-to-peer payments,6488202,21207285185
Gujarat,2018,4,Recharge & bill payments,6138404,2297332323
Gujarat,2018,4,Merchant payments,1656377,1088373316
Gujarat,2018,4,Financial Services,133915,30699273
Gujarat,2018,4,Others,316405,207297006
Gujarat,2019,1,Peer-to-peer payments,13465044,31231285551
Gujarat,2019,1,Recharge & bill payments,8595256,3104251733
Gujarat,2019,1,Merchant payments,2493340,1296376125
Gujarat,2019,1,Financial Services,114539,19581521
Gujarat,2019,1,Others,323272,204585379
Gujarat,2019,2,Peer-to-peer payments,12547493,41853661230
Gujarat,2019,2,Recharge & bill payments,10434449,4651874823
Gujarat,2019,2,Merchant payments,5486791,2526448415
Gujarat,2019,2,Financial Services,70502,17349813
Gujarat,2019,2,Others,442607,271280937
Gujarat,2019,3,Peer-to-peer payments,14529353,49206585462
Gujarat,2019,3,Merchant payments,11788077,4211116461
Gujarat,2019,3,Recharge & bill payments,11349625,5768100024
Gujarat,2019,3,Financial Services,78609,20507001
Gujarat,2019,3,Others,482985,256386015
Gujarat,2019,4,Peer-to-peer payments,19107911,64477452639
Gujarat,2019,4,Recharge & bill payments,12967713,6517891167
Gujarat,2019,4,Merchant payments,9964076,5480269120
Gujarat,2019,4,Financial Services,63498,20202767
Gujarat,2019,4,Others,444434,194846362
Gujarat,2020,1,Peer-to-peer payments,19068093,72393727235
Gujarat,2020,1,Recharge & bill payments,15648472,7197595157
Gujarat,2020,1,Merchant payments,12191478,7210758662
Gujarat,2020,1,Financial Services,50753,27460255
Gujarat,2020,1,Others,367621,165535312
Gujarat,2020,2,Recharge & bill payments,19971660,8322688557
Gujarat,2020,2,Peer-to-peer payments,17569398,64723140394
Gujarat,2020,2,Merchant payments,9645967,7196610932
Gujarat,2020,2,Financial Services,59617,53132341
Gujarat,2020,2,Others,173543,92274135
Gujarat,2020,3,Peer-to-peer payments,23130724,89142122337
Gujarat,2020,3,Merchant payments,18338969,12749796642
Gujarat,2020,3,Recharge & bill payments,17481357,9820654244
Gujarat,2020,3,Financial Services,92278,84723189
Gujarat,2020,3,Others,246851,124456073
Gujarat,2020,4,Peer-to-peer payments,29967258,116743230330
Gujarat,2020,4,Merchant payments,28430460,20844321157
Gujarat,2020,4,Recharge & bill payments,18943669,10441981826
Gujarat,2020,4,Financial Services,113371,120056734
Gujarat,2020,4,Others,373789,243470065
Gujarat,2021,1,Peer-to-peer payments,36427493,144818968373
Gujarat,2021,1,Merchant payments,35815382,26512643894
Gujarat,2021,1,Recharge & bill payments,22088838,11996115292
Gujarat,2021,1,Financial Services,126380,137612318
Gujarat,2021,1,Others,316472,235440836
Gujarat,2021,2,Merchant payments,42593432,33542305034
Gujarat,2021,2,Peer-to-peer payments,41642387,162483567902
Gujarat,2021,2,Recharge & bill payments,27127405,13750783182
Gujarat,2021,2,Financial Services,128647,136119997
Gujarat,2021,2,Others,349525,249278437
Gujarat,2021,3,Merchant payments,62934471,48197579737
Gujarat,2021,3,Peer-to-peer payments,56134212,208013326601
Gujarat,2021,3,Recharge & bill payments,29580901,15945997372
Gujarat,2021,3,Financial Services,125167,163304131
Gujarat,2021,3,Others,473656,304418273
Gujarat,2021,4,Merchant payments,84846502,68717933162
Gujarat,2021,4,Peer-to-peer payments,67301686,254338740727
Gujarat,2021,4,Recharge & bill payments,30072479,18739034342
Gujarat,2021,4,Financial Services,175393,209214621
Gujarat,2021,4,Others,591265,377657203
Gujarat,2022,1,Merchant payments,101648378,79563412222
Gujarat,2022,1,Peer-to-peer payments,77768758,292439274688
Gujarat,2022,1,Recharge & bill payments,30473298,20042066375
Gujarat,2022,1,Financial Services,160423,187077879
Gujarat,2022,1,Others,496289,316261089
Gujarat,2022,2,Merchant payments,131610193,95585623258
Gujarat,2022,2,Peer-to-peer payments,86423696,326945780477
Gujarat,2022,2,Recharge & bill payments,33424931,23844933238
Gujarat,2022,2,Financial Services,125180,142685436
Gujarat,2022,2,Others,468796,278978567
Gujarat,2022,3,Merchant payments,161264265,109018764233
Gujarat,2022,3,Peer-to-peer payments,103034790,359338045092
Gujarat,2022,3,Recharge & bill payments,38383683,28649040041
Gujarat,2022,3,Financial Services,152053,162173603
Gujarat,2022,3,Others,404941,269479241
Gujarat,2022,4,Merchant payments,186533503,125585214989
Gujarat,2022,4,Peer-to-peer payments,114868478,411053364214
Gujarat,2022,4,Recharge & bill payments,39167297,30789927499
Gujarat,2022,4,Financial Services,179101,194314203
Gujarat,2022,4,Others,407639,295484431
Gujarat,2023,1,Merchant payments,199359623,123421554216
Gujarat,2023,1,Peer-to-peer payments,120907384,436337923470
Gujarat,2023,1,Recharge & bill payments,41649002,37570733166
Gujarat,2023,1,Financial Services,180163,200278806
Gujarat,2023,1,Others,415154,295699148
Gujarat,2023,2,Merchant payments,239396654,135256737974
Gujarat,2023,2,Peer-to-peer payments,132035120,470150906708
Gujarat,2023,2,Recharge & bill payments,44902296,39506073738
Gujarat,2023,2,Financial Services,191053,225104195
Gujarat,2023,2,Others,397430,268385910
Gujarat,2023,3,Merchant payments,279651861,155597205179
Gujarat,2023,3,Peer-to-peer payments,151754885,508236930735
Gujarat,2023,3,Recharge & bill payments,47284770,43342854631
Gujarat,2023,3,Financial Services,246300,311377540
Gujarat,2023,3,Others,365774,248668365
Gujarat,2023,4,Merchant payments,319459808,179560004574
Gujarat,2023,4,Peer-to-peer payments,166959749,567135968086
Gujarat,2023,4,Recharge & bill payments,47046378,47786850776
Gujarat,2023,4,Financial Services,271611,349727923
Gujarat,2023,4,Others,378032,254647715
Gujarat,2024,1,Merchant payments,366409312,201682534095
Gujarat,2024,1,Peer-to-peer payments,187792836,618453750215
Gujarat,2024,1,Recharge & bill payments,51744007,50813658532
Gujarat,2024,1,Financial Services,273979,398254841
Gujarat,2024,1,Others,356537,271267241
Gujarat,2024,2,Merchant payments,437221639,222449503863
Gujarat,2024,2,Peer-to-peer payments,199501081,638163102162
Gujarat,2024,2,Recharge & bill payments,52968092,49178909419
Gujarat,2024,2,Financial Services,320563,459744596
Gujarat,2024,2,Others,383778,373786893
Gujarat,2024,3,Merchant payments,476512894,238978729415
Gujarat,2024,3,Peer-to-peer payments,225649266,671907062380
Gujarat,2024,3,Recharge & bill payments,54584624,51775029765
Gujarat,2024,3,Financial Services,384648,514500536
Gujarat,2024,3,Others,309818,376066005
Gujarat,2024,4,Merchant payments,530043047,271052844680
Gujarat,2024,4,Peer-to-peer payments,244109941,750880785528
Gujarat,2024,4,Recharge & bill payments,51838504,53102559360
Gujarat,2024,4,Financial Services,1091610,557971100
Gujarat,2024,4,Others,291864,420340754
Haryana,2018,1,Recharge & bill payments,2368002,535578755
Haryana,2018,1,Peer-to-peer payments,1607193,5814807511
Haryana,2018,1,Merchant payments,167816,173513595
Haryana,2018,1,Financial Services,128636,27501068
Haryana,2018,1,Others,209123,242110586
Haryana,2018,2,Recharge & bill payments,3054284,984897277
Haryana,2018,2,Peer-to-peer payments,2388953,9745924810
Haryana,2018,2,Merchant payments,369916,334118261
Haryana,2018,2,Financial Services,167570,38145882
Haryana,2018,2,Others,170208,217328212
Haryana,2018,3,Peer-to-peer payments,3753981,14429454356
Haryana,2018,3,Recharge & bill payments,3203386,1310467515
Haryana,2018,3,Merchant payments,1003057,427387638
Haryana,2018,3,Financial Services,100452,17323791
Haryana,2018,3,Others,201148,190505707
Haryana,2018,4,Peer-to-peer payments,5905032,22416919747
Haryana,2018,4,Recharge & bill payments,4116262,1671040704
Haryana,2018,4,Merchant payments,2413446,1013407380
Haryana,2018,4,Financial Services,120711,22252544
Haryana,2018,4,Others,394732,267255642
Haryana,2019,1,Peer-to-peer payments,12622225,30283578837
Haryana,2019,1,Recharge & bill payments,5576577,2202061875
Haryana,2019,1,Merchant payments,3361995,1292375556
Haryana,2019,1,Financial Services,101786,15201736
Haryana,2019,1,Others,473192,258437718
Haryana,2019,2,Peer-to-peer payments,10387562,37056084814
Haryana,2019,2,Recharge & bill payments,5902923,2838724048
Haryana,2019,2,Merchant payments,5738283,2292901816
Haryana,2019,2,Financial Services,57488,12080285
Haryana,2019,2,Others,655560,301748850
Haryana,2019,3,Peer-to-peer payments,11775288,43738290120
Haryana,2019,3,Merchant payments,9386779,3615636828
Haryana,2019,3,Recharge & bill payments,8289987,4817098565
Haryana,2019,3,Financial Services,61503,16715101
Haryana,2019,3,Others,829974,301378586
Haryana,2019,4,Peer-to-peer payments,15729819,58242027266
Haryana,2019,4,Merchant payments,11615667,5253780278
Haryana,2019,4,Recharge & bill payments,9648003,5637358526
Haryana,2019,4,Financial Services,41688,13756049
Haryana,2019,4,Others,790808,212797750
Haryana,2020,1,Peer-to-peer payments,17728235,68367245528
Haryana,2020,1,Merchant payments,14327020,7075196609
Haryana,2020,1,Recharge & bill payments,11346112,6331682017
Haryana,2020,1,Financial Services,34488,25266730
Haryana,2020,1,Others,600232,176823674
Haryana,2020,2,Peer-to-peer payments,17334369,66645492691
Haryana,2020,2,Recharge & bill payments,12740328,6547618492
Haryana,2020,2,Merchant payments,11527654,7393393678
Haryana,2020,2,Financial Services,48759,49209527
Haryana,2020,2,Others,129940,75550537
Haryana,2020,3,Peer-to-peer payments,24123449,88796356487
Haryana,2020,3,Merchant payments,20845136,12141560867
Haryana,2020,3,Recharge & bill payments,12716319,8452802893
Haryana,2020,3,Financial Services,66457,80854297
Haryana,2020,3,Others,186818,96375902
Haryana,2020,4,Merchant payments,34063692,21382305452
Haryana,2020,4,Peer-to-peer payments,33920789,128613933347
Haryana,2020,4,Recharge & bill payments,14682896,9675471301
Haryana,2020,4,Financial Services,84881,103265694
Haryana,2020,4,Others,419181,223528573
Haryana,2021,1,Merchant payments,39363588,23389100227
Haryana,2021,1,Peer-to-peer payments,36764622,135970636785
Haryana,2021,1,Recharge & bill payments,13680353,9260346909
Haryana,2021,1,Financial Services,79784,99672810
Haryana,2021,1,Others,364437,218544351
Haryana,2021,2,Merchant payments,45335533,29119078264
Haryana,2021,2,Peer-to-peer payments,44086559,161073685337
Haryana,2021,2,Recharge & bill payments,15861047,9839496895
Haryana,2021,2,Financial Services,85821,97238136
Haryana,2021,2,Others,311896,227855607
Haryana,2021,3,Merchant payments,66885213,40190922827
Haryana,2021,3,Peer-to-peer payments,55929958,188548678301
Haryana,2021,3,Recharge & bill payments,17087955,11681457469
Haryana,2021,3,Financial Services,77496,116592181
Haryana,2021,3,Others,479071,289441482
Haryana,2021,4,Merchant payments,84993587,56325102921
Haryana,2021,4,Peer-to-peer payments,66548306,238638993818
Haryana,2021,4,Recharge & bill payments,17632752,13817258646
Haryana,2021,4,Financial Services,105050,151421307
Haryana,2021,4,Others,407280,307822609
Haryana,2022,1,Merchant payments,98346418,62565728158
Haryana,2022,1,Peer-to-peer payments,74499889,263547241000
Haryana,2022,1,Recharge & bill payments,18494827,14765350796
Haryana,2022,1,Financial Services,107240,146586165
Haryana,2022,1,Others,540235,279136534
Haryana,2022,2,Merchant payments,130033573,76926347116
Haryana,2022,2,Peer-to-peer payments,84219451,300504797205
Haryana,2022,2,Recharge & bill payments,20011709,17457331653
Haryana,2022,2,Financial Services,89805,120610062
Haryana,2022,2,Others,345424,224949213
Haryana,2022,3,Merchant payments,151278013,87063736520
Haryana,2022,3,Peer-to-peer payments,95071203,319374569106
Haryana,2022,3,Recharge & bill payments,22592966,21247984019
Haryana,2022,3,Financial Services,111032,144937203
Haryana,2022,3,Others,308596,223267730
Haryana,2022,4,Merchant payments,169685872,102918159834
Haryana,2022,4,Peer-to-peer payments,102993798,364514204185
Haryana,2022,4,Recharge & bill payments,23545059,22666085170
Haryana,2022,4,Financial Services,118488,152488075
Haryana,2022,4,Others,305148,239722616
Haryana,2023,1,Merchant payments,220693824,114248076004
Haryana,2023,1,Peer-to-peer payments,128879993,443424820679
Haryana,2023,1,Recharge & bill payments,31210728,32978369763
Haryana,2023,1,Financial Services,158036,217615573
Haryana,2023,1,Others,375883,281741717
