States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Andaman & Nicobar,2022,3,Recharge & bill payments,240766,97748066
Andaman & Nicobar,2022,3,Financial Services,1814,2166305
Andaman & Nicobar,2022,3,Others,3477,2744061
Andaman & Nicobar,2022,4,Merchant payments,956536,906365301
Andaman & Nicobar,2022,4,Peer-to-peer payments,768758,2961630585
Andaman & Nicobar,2022,4,Recharge & bill payments,256050,110037120
Andaman & Nicobar,2022,4,Financial Services,2499,3533987
Andaman & Nicobar,2022,4,Others,3692,3107412
Andaman & Nicobar,2023,1,Merchant payments,1122063,1008821751
Andaman & Nicobar,2023,1,Peer-to-peer payments,862347,3299762230
Andaman & Nicobar,2023,1,Recharge & bill payments,286024,146338470
Andaman & Nicobar,2023,1,Financial Services,2515,3556954
Andaman & Nicobar,2023,1,Others,3443,3049182
Andaman & Nicobar,2023,2,Merchant payments,1410653,1159905474
Andaman & Nicobar,2023,2,Peer-to-peer payments,970525,3664415887
Andaman & Nicobar,2023,2,Recharge & bill payments,320922,158455723
Andaman & Nicobar,2023,2,Financial Services,2158,4161814
Andaman & Nicobar,2023,2,Others,3517,3405338
Andaman & Nicobar,2023,3,Merchant payments,1657848,1289780198
Andaman & Nicobar,2023,3,Peer-to-peer payments,1111211,3757627272
Andaman & Nicobar,2023,3,Recharge & bill payments,323935,157992380
Andaman & Nicobar,2023,3,Financial Services,2199,3850023
Andaman & Nicobar,2023,3,Others,3183,2346918
Andaman & Nicobar,2023,4,Merchant payments,2039888,1653303276
Andaman & Nicobar,2023,4,Peer-to-peer payments,1321796,4420459049
Andaman & Nicobar,2023,4,Recharge & bill payments,327460,185028400
Andaman & Nicobar,2023,4,Financial Services,3276,7836466
Andaman & Nicobar,2023,4,Others,3363,2925308
Andaman & Nicobar,2024,1,Merchant payments,2401038,1887811915
Andaman & Nicobar,2024,1,Peer-to-peer payments,1436380,4771886847
Andaman & Nicobar,2024,1,Recharge & bill payments,341224,188939343
Andaman & Nicobar,2024,1,Financial Services,3761,7962745
Andaman & Nicobar,2024,1,Others,2517,2550985
Andaman & Nicobar,2024,2,Merchant payments,2769052,2053269052
Andaman & Nicobar,2024,2,Peer-to-peer payments,1513157,5033712226
Andaman & Nicobar,2024,2,Recharge & bill payments,365214,196987648
Andaman & Nicobar,2024,2,Financial Services,3371,9550750
Andaman & Nicobar,2024,2,Others,2430,2260654
Andaman & Nicobar,2024,3,Merchant payments,3158032,2132361939
Andaman & Nicobar,2024,3,Peer-to-peer payments,1733054,5305660809
Andaman & Nicobar,2024,3,Recharge & bill payments,382130,213105223
Andaman & Nicobar,2024,3,Financial Services,4169,10756400
Andaman & Nicobar,2024,3,Others,1865,1960638
Andaman & Nicobar,2024,4,Merchant payments,3666060,2546601178
Andaman & Nicobar,2024,4,Peer-to-peer payments,1993301,6142805445
Andaman & Nicobar,2024,4,Recharge & bill payments,389318,214912264
Andaman & Nicobar,2024,4,Financial Services,12889,12789955
Andaman & Nicobar,2024,4,Others,2332,3835931
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293976
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283
Andhra Pradesh,2018,1,Merchant payments,362672,247297640
Andhra Pradesh,2018,1,Financial Services,204305,44808450
Andhra Pradesh,2018,1,Others,395514,287626043
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493099
Andhra Pradesh,2018,2,Merchant payments,604847,436785224
Andhra Pradesh,2018,2,Financial Services,225621,68952115
Andhra Pradesh,2018,2,Others,322063,328092347
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630445
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098147
Andhra Pradesh,2018,3,Merchant payments,1225416,685277255
Andhra Pradesh,2018,3,Financial Services,380324,60790078
Andhra Pradesh,2018,3,Others,348725,284248676
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585889
Andhra Pradesh,2018,4,Financial Services,400837,57178116
Andhra Pradesh,2018,4,Others,389411,315211361
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770
Andhra Pradesh,2019,1,Financial Services,416325,47150178
Andhra Pradesh,2019,1,Others,361263,284937625
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345388
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405203
Andhra Pradesh,2019,2,Financial Services,145310,26626697
Andhra Pradesh,2019,2,Others,448802,361492238
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645330
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984677
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038
Andhra Pradesh,2019,3,Financial Services,122270,29778183
Andhra Pradesh,2019,3,Others,413437,298142028
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550051
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303368
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168606
Andhra Pradesh,2019,4,Financial Services,105662,26796572
Andhra Pradesh,2019,4,Others,338672,216496893
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530778
Andhra Pradesh,2020,1,Financial Services,75238,43739133
Andhra Pradesh,2020,1,Others,292310,188228538
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724131
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006437
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525
Andhra Pradesh,2020,2,Financial Services,140941,145274999
Andhra Pradesh,2020,2,Others,176241,90087655
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580214
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104675
Andhra Pradesh,2020,3,Financial Services,243088,256074925
Andhra Pradesh,2020,3,Others,312329,151582519
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138544
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048150
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337212
Andhra Pradesh,2020,4,Financial Services,265470,305168772
Andhra Pradesh,2020,4,Others,457527,306853356
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964
Andhra Pradesh,2021,1,Financial Services,225355,270313028
Andhra Pradesh,2021,1,Others,347907,272546458
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429437
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345
Andhra Pradesh,2021,2,Financial Services,243237,265483044
Andhra Pradesh,2021,2,Others,406842,308302224
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958
Andhra Pradesh,2021,3,Financial Services,211171,297239698
Andhra Pradesh,2021,3,Others,547759,403948276
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933597
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784714
Andhra Pradesh,2021,4,Financial Services,243951,332740109
Andhra Pradesh,2021,4,Others,701856,545223416
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036842
Andhra Pradesh,2022,1,Financial Services,231651,324358965
Andhra Pradesh,2022,1,Others,627694,474382234
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926514
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939
Andhra Pradesh,2022,2,Financial Services,192751,245783011
Andhra Pradesh,2022,2,Others,441925,357036085
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525893
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826
Andhra Pradesh,2022,3,Financial Services,187190,239347242
Andhra Pradesh,2022,3,Others,362484,323951102
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706
Andhra Pradesh,2022,4,Financial Services,206459,250596592
Andhra Pradesh,2022,4,Others,345658,339211363
Andhra Pradesh,2023,1,Merchant payments,540680395,311606731877
Andhra Pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755
Andhra Pradesh,2023,1,Recharge & bill payments,89143939,78817989795
Andhra Pradesh,2023,1,Financial Services,288150,331233097
Andhra Pradesh,2023,1,Others,488672,477193006
